sx,sz,d_mean,d_max,d_last
0.2,1.0,0.03426710398598998,0.05238018511514432,0.05238018511514432
0.2,0.8,0.03427520146368714,0.05261396869329209,0.0521770887275145
0.2,1.2,0.03522247198889131,0.054636093996897894,0.054636093996897894
0.2,0.6000000000000001,0.036149406798113036,0.058076362467530875,0.056761346349042965
0.2,1.4000000000000001,0.03658711305620846,0.057507540822190506,0.057507540822190506
0.2,1.6,0.038071409424259475,0.06038494467915698,0.06038494467915698
0.2,1.8,0.03953760456010254,0.06304756273217785,0.06304756273217785
0.2,2.0,0.040925701306044136,0.06543622353738703,0.06543622353738703
0.2,0.4,0.04102028167544809,0.07063365124163651,0.06976875494706869
0.4,2.0,0.04209711132931219,0.05579115795962142,0.05243437884503058
0.4,1.8,0.042801043333572784,0.057926889238692256,0.051984711850965815
0.4,1.6,0.04403864045785017,0.06074784505431931,0.0523619384367629
0.4,1.4000000000000001,0.04597956016347487,0.06448757878925207,0.05398247655139514
0.4,1.2,0.048814513545302224,0.06939717148804847,0.05734330064139847
0.2,0.2,0.049931460681743714,0.09430635701228368,0.0942444379506037
0.6000000000000001,2.0,0.05221467201452979,0.07325357961171183,0.054885044788384324
0.4,1.0,0.05274185030390344,0.07586255946962946,0.06296542371575481
0.6000000000000001,1.8,0.054688076688363126,0.0771596684392813,0.05734616752798166
0.6000000000000001,1.6,0.05771287250682193,0.08170819682432395,0.06081419160321018
0.4,0.8,0.05795319164656448,0.08432353523799906,0.07132366060754139
0.6000000000000001,1.4000000000000001,0.06135512987927372,0.08707537513878497,0.06543496441828638
0.8,2.0,0.06348275211399874,0.09001343743680001,0.06297201124832486
0.4,0.6000000000000001,0.06462287281036688,0.09525133905887284,0.0827969716439451
0.6000000000000001,1.2,0.06567826303059726,0.09330413406373708,0.07133732651723786
0.8,1.8,0.06668486374957676,0.0944805906139885,0.06678589426335083
0.8,1.6,0.0703071067825788,0.0995243594590545,0.07133744597863018
0.6000000000000001,1.0,0.0707415482338999,0.10067316417383446,0.07862883774239762
0.4,0.4,0.07290068194768565,0.10910871194294278,0.09764843846473782
1.0,2.0,0.07347246271182173,0.10392487324180325,0.07133744702286027
0.8,1.4000000000000001,0.0743764854284912,0.10504275308542788,0.07667089135376014
0.6000000000000001,0.8,0.07659864905869364,0.1091491201924355,0.08739391504107324
1.0,1.8,0.07687656491585194,0.10852765213496923,0.07553977402230506
0.8,1.2,0.0789180895294971,0.11131682942523798,0.08282312249101739
-0.2,2.0,0.07966718100929351,0.1300087866059038,0.1300087866059038
1.0,1.6,0.08059397583738653,0.11350513410539634,0.08026192973104998
-0.2,1.8,0.08146964797294565,0.13371841476564247,0.13371841476564247
1.2,2.0,0.08189193233296932,0.11536477202142287,0.07862905526892172
0.2,-0.2,0.08266227948278271,0.18254791517776803,0.18254791517776803
0.4,0.2,0.0829029986899595,0.1262880122907732,0.11601256277952701
0.6000000000000001,0.6000000000000001,0.08329577900991364,0.11899075456736916,0.09769247168543502
