beta_omega_q,g_probe,baseline_n_cut,baseline_n_cut_distance,best_n_cut,best_n_cut_distance,baseline_n_modes,baseline_modes_n_cut,baseline_n_modes_distance,best_n_modes,best_modes_n_cut,best_n_modes_distance
0.5,0.329393,4,0.029065643526918657,12,0.0061858463034769225,1,4,0.00014852566087410142,1,6,0.00012705922549441915
2.0,0.142668,4,0.020979800144776763,6,0.0027862370508287913,1,4,0.00041753614647956587,1,6,0.0004175359118005716
8.0,0.026443,4,0.001801269232264936,12,0.001793916433986752,1,4,0.00017079897493843123,1,6,0.0001707989749381814
