lambda,trace_distance_to_tau,trace_distance_to_ultrastrong,coherence_hs_basis,coherence_x_basis,expect_sigma_z,expect_x
0.0,1.8041124150158794e-16,0.07861957608050033,0.0,0.15713836553697724,-0.635148952387287,-0.6154037096045453
0.2,0.007467371178548142,0.07115248967895235,0.014619326087300773,0.14221815307531038,-0.6320957845199711,-0.616062336487966
0.4,0.023438596824369815,0.05518201682770153,0.045883084133754345,0.11030590325617837,-0.6255461468203576,-0.6174510886849744
0.6000000000000001,0.03853209978945845,0.040089477043075014,0.07542034187886022,0.08014567663960992,-0.6193166156167731,-0.6187228530320478
0.8,0.04938729477139799,0.02923516835953665,0.09665373566117817,0.058452548059208825,-0.6147902952093958,-0.6195904706548533
1.0,0.05650685490429179,0.02211623501070549,0.11057128145756895,0.04422299934409851,-0.6117803768737946,-0.620117379324288
1.2000000000000002,0.06114380309417388,0.01747961987828585,0.11962890795816207,0.034954005703691345,-0.6097878994120258,-0.6204277358192973
1.4000000000000001,0.06426404507488451,0.014359478038385807,0.12571896509402755,0.02871589191765645,-0.6084242115422607,-0.620613145950445
1.6,0.0664643135894718,0.01215916037740605,0.1300101101766128,0.02431641335517358,-0.607447126174137,-0.6207280820833654
1.8,0.06808995736992138,0.010533385800184742,0.13317840033936743,0.021065516272639237,-0.6067151193428661,-0.6208026791021027
2.0,0.06933996368983236,0.00928321095940829,0.1356131834126613,0.018565556239549384,-0.606145732864052,-0.6208533684422844
2.2,0.07033203847746308,0.008290955256006127,0.13754464092378707,0.016581290395566623,-0.6056895854774592,-0.6208892518086682
2.4000000000000004,0.07113881168807146,0.007484002262437017,0.1391147215240262,0.014967546331608694,-0.6053158102655428,-0.6209155405197626
2.6,0.07180732794734465,0.006815314087243472,0.14041531478468605,0.013630280815513922,-0.6050041557937201,-0.6209353465527991
2.8000000000000003,0.07236955137424378,0.006252929615211843,0.14150881851191702,0.012505590103597086,-0.6047406944990332,-0.6209506127833134
3.0,0.07284814432338951,0.0057741874966543184,0.14243944876214565,0.011548162521384232,-0.6045154419488535,-0.6209626043979308
3.2,0.07325975209139239,0.005362442391193746,0.1432396661653004,0.01072471424743152,-0.6043209919808255,-0.6209721763623121
3.4000000000000004,0.0736169474030198,0.005005121000450408,0.14393397873074656,0.010010103107157772,-0.6041517017593214,-0.6209799246414744
3.6,0.0739294342931707,0.004692518471145414,0.1445412953412189,0.009384922330605113,-0.6040031828396343,-0.6209862753492823
3.8000000000000003,0.07420482813532617,0.004417018524063012,0.14507645003181546,0.008833941358373528,-0.6038719685087333,-0.620991539543433
4.0,0.07444918315732763,0.004172566024532336,0.14555123239754905,0.008345051310989293,-0.6037552868044357,-0.6209959482278194
4.2,0.07466736289303828,0.003954296576451036,0.1459751108987356,0.007908524380552097,-0.603650899690263,-0.6209996754756675
4.4,0.07486330860055382,0.0037582681262404395,0.1463557567269011,0.007516477168530343,-0.6035569855067152,-0.621002854141615
4.6000000000000005,0.07504023862608387,0.0035812616074399626,0.14669943274137923,0.007162472059824182,-0.6034720509353462,-0.6210055867870656
4.800000000000001,0.07520079931682105,0.003420630028478523,0.14701128777129466,0.006841215454917753,-0.6033948638413886,-0.621007953422049
5.0,0.07534718090822874,0.0032741825817399033,0.14729558253335615,0.006548326026445087,-0.6033244013389432,-0.6210100170778939
5.2,0.07548120748886285,0.003140094672929481,0.14755586495867798,0.0062801548044272276,-0.6032598092159281,-0.6210118278701091
5.4,0.07560440743459798,0.0030168374802064754,0.14779510741855287,0.006033644313079799,-0.603200369988608,-0.6210134259962166
5.6000000000000005,0.07571806893100388,0.002903122425056214,0.1480158148698868,0.005806217525696029,-0.6031454775921277,-0.6210148439687062
5.800000000000001,0.07582328399687097,0.002797857142339164,0.14822011058384843,0.005595689814169015,-0.6030946172235011,-0.621016108294264
6.0,0.0759209835733641,0.002700110385254688,0.14840980446250768,0.005400198765758122,-0.6030473492125497,-0.6210172407479303
6.2,0.07601196562949405,0.0026090839146058233,0.14858644774875007,0.0052181479666341835,-0.6030032960579246,-0.6210182593475906
6.4,0.07609691778104011,0.0025240898752221822,0.1487513770487862,0.005048161758438922,-0.6029621319604828,-0.6210191791040768
6.6000000000000005,0.07617643557979988,0.002444532502687463,0.1489057499232096,0.004889048654524171,-0.6029235743386101,-0.6210200126056266
6.800000000000001,0.0762510373716172,0.0023698932617977056,0.14905057379672174,0.004739771618966429,-0.6028873769164729,-0.6210207704733853
7.0,0.07632117642418361,0.0022997187157484324,0.14918672955299306,0.004599423806542841,-0.6028533240706321,-0.6210214617212324
7.2,0.07638725087348809,0.0022336105770983574,0.14931499088363093,0.004467208665889981,-0.6028212261842578,-0.6210220940414329
7.4,0.07644961192027862,0.002171217509074972,0.14943604023117804,0.004342423543067964,-0.6027909158110275,-0.6210226740321516
7.6000000000000005,0.07650857061675029,0.0021122283369802786,0.14955048198891116,0.004224446105117719,-0.602762244494119,-0.6210232073810193
7.800000000000001,0.07656440351267857,0.002056366400412575,0.1496588534813332,0.004112723045090871,-0.6027350801153432,-0.6210236990132909
8.0,0.07661735737484703,0.0020033848324329763,0.14976163414184807,0.004006760640848543,-0.6027093046767564,-0.6210241532130155
