method,N,beta,seed,recon_rel_l2,two_body_xx,stderr_two_body_xx,two_body_xy,stderr_two_body_xy,two_body_xz,stderr_two_body_xz,two_body_yx,stderr_two_body_yx,two_body_yy,stderr_two_body_yy,two_body_yz,stderr_two_body_yz,two_body_zx,stderr_two_body_zx,two_body_zy,stderr_two_body_zy,two_body_zz,stderr_two_body_zz,mx,stderr_mx,my,stderr_my,mz,stderr_mz,energy_density,stderr_energy_density,runtime_s,peak_mem_mb,effective_samples,mean_weight,tn_converged,tn_max_bond_observed
ed,6,6.0,0,0.0,-0.0025098612469230657,,-0.06154011992716119,,-0.025544537635687772,,0.020193675644603625,,-0.05040464064188306,,0.022664284202664975,,-0.015287747299552224,,0.02464482765951971,,-0.05403879664498766,,-0.2606472177549369,,0.04589375374349691,,0.05436100628230292,,-0.6206525056959911,,0.015955899987602606,195.45703125,,,,
stochastic,6,6.0,0,0.0,-0.25813556550624517,0.08365814458252828,0.225671223373496,0.1005664618663038,0.09078897941947137,0.028151252647410988,0.04751290528659988,0.044103562885662695,-0.16190515808662054,0.034167498763304244,0.07917190829924366,0.04661665238439192,0.21354365759025642,0.037783500818426956,-0.3225807149164134,0.11648704676569246,-0.009516477693978091,0.08415344297779727,0.38259955627167125,0.057595279863043504,-0.42699144977418035,0.13005402008433334,0.1851967376493013,0.11139191202237891,0.14135694607207477,0.2054781129755625,64.33566760001122,193.39453125,1.3483289017852562,3.049119949319951e+38,,
ed,8,6.0,0,0.0,-0.07682449133737136,,0.007792756224021592,,0.015299683246349125,,-0.00484987665482531,,-0.008208736143017838,,0.04278962016224467,,-0.020579323486908514,,-0.01878689417968885,,-0.039456351793966525,,0.07962606426149199,,0.05411456993632741,,0.09968510842562985,,-0.6468033993089537,,0.34978710001450963,229.84375,,,,
stochastic,8,6.0,0,0.0,-0.04705562762114344,0.034582916963724133,-0.07746660681051107,0.02721933699232213,-0.2027456864208759,0.0677895557979805,-0.028202169732509854,0.04199295023372944,-0.1346379549213965,0.11520799595486403,-0.0763613831700344,0.1271959181831668,0.08068453708786158,0.0872392846691361,0.06718976876832529,0.05850667643092935,-0.04172147222697741,0.05576837174556761,0.2461527416921862,0.12394398394833507,-0.1331099809425292,0.1347936677731187,-0.24975142646236773,0.167548567214836,0.08084000082626548,0.16228175290292665,119.39917250000872,197.18359375,1.8357545595656457,7.552112264339628e+65,,
