beta,omega_q,beta_omega_q,theta,g,g2,theory_model,g_star,g_max_used,g_range_hit_cap,chi0,sigma_plus0,sigma_minus0,delta_z0,kms_residual_base,sigma_plus,sigma_minus,delta_z,chi,gamma,phi_ed,r_ed,coherence_ed,rho01_abs_ed,mx_ed,my_ed,mz_ed,gauge_phase_ed,phi_th,r_th,coherence_th,rho01_abs_th,mx_th,my_th,mz_th,gauge_phase_th,trace_distance,phi_ed_unwrapped,phi_th_unwrapped,xi_phi_ed,xi_phi_th
0.5,1.0,0.5,0.7853981633974483,0.0,0.0,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.0,0.0,0.0,0.0,1.0,3.141592653589793,0.24491866240370908,0.0,0.0,0.0,0.0,-0.24491866240370908,0.0,3.141592653589793,0.24491866240370908,0.0,0.0,0.0,0.0,-0.24491866240370908,0.0,1.1102230246251565e-16,3.141592653589793,3.141592653589793,-0.032405662526116645,-0.09571726900145106
0.5,1.0,0.5,0.7853981633974483,0.012668974202295895,0.0001605029073384389,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.000392838354108066,0.00023826850607758853,0.0003078621511641344,0.00043402777777777765,0.9999999372066339,3.1411821070872414,0.24482062253120276,0.00010051024750922823,5.025512375461411e-05,0.00010051024750922823,0.0,-0.24482060189913718,0.0,3.1403800139780995,0.24462942546916336,0.0002966472588067787,0.00014832362940338936,0.0002966472588067787,0.0,-0.24462924560603294,0.0,0.0001370099979119506,3.1411821070872414,3.1403800139780995,-0.06473775105027164,-0.19215847803120226
0.5,1.0,0.5,0.7853981633974483,0.02533794840459179,0.0006420116293537556,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.001571353416432264,0.0009530740243103541,0.0012314486046565375,0.0017361111111111106,0.9999989953072812,3.139952331793852,0.24452766300295467,0.0004011038754622085,0.00020055193773110426,0.0004011038754622085,0.0,-0.24452733403316623,0.0,3.1367237519879336,0.24376362370580215,0.0011868564086135367,0.0005934282043067683,0.0011868564086135367,0.0,-0.24376073435655965,0.0,0.0005488811591608531,3.139952331793852,3.1367237519879336,-0.12918155238906048,-0.3872304022097844
0.5,1.0,0.5,0.7853981633974483,0.038006922606887684,0.0014445261660459502,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.0035355451869725943,0.002144416554698297,0.00277075936047721,0.003906249999999999,0.9999949137680231,3.1379089115779824,0.2440432353540945,0.0008989902855592312,0.0004494951427796156,0.0008989902855592312,0.0,-0.24404157952808048,0.0,3.1305683900262187,0.2423270774360063,0.0026714234578425642,0.0013357117289212821,0.0026714234578425642,0.0,-0.24231235204872464,0.0,0.0012381182319925756,3.1379089115779824,3.1305683900262187,-0.19303885143313435,-0.5881998902810411
0.5,1.0,0.5,0.7853981633974483,0.05067589680918358,0.0025680465174150223,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.006285413665729056,0.0038122960972414165,0.00492579441862615,0.006944444444444442,0.999983925207204,3.1350611233361576,0.24337299756586808,0.0015895867942660178,0.0007947933971330089,0.0015895867942660178,0.0,-0.2433678063302941,0.0,3.121819973516406,0.2403298022705178,0.004751654661343932,0.002375827330671966,0.004751654661343932,0.0,-0.24028282426624986,0.0,0.0022088338287137655,3.1350611233361576,3.121819973516406,-0.256019936511339,-0.798191928210355
0.5,1.0,0.5,0.7853981633974483,0.06334487101147948,0.004012572683460973,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.009820958852701652,0.005956712651939715,0.007696553779103362,0.010850694444444444,0.9999607559915544,3.131421891636111,0.2425246763336217,0.002466618224063315,0.0012333091120316575,0.002466618224063315,0.0,-0.24251213253209558,0.0,3.110343844132263,0.2377864972500277,0.007429335696738832,0.003714667848369416,0.007429335696738832,0.0,-0.23767040885550433,0.0,0.003466657355222143,3.131421891636111,3.110343844132263,-0.31783946999338714,-1.0205408288988966
0.5,1.0,0.5,0.7853981633974483,0.07601384521377537,0.005778104664183801,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.014142180747890377,0.008577666218793188,0.01108303744190884,0.015624999999999997,0.9999186277381674,3.1270077232445224,0.24150788223617095,0.00352225076150555,0.001761125380752775,0.00352225076150555,0.0,-0.24148219588982806,0.0,3.0959615626489865,0.2347172597059381,0.010706688148861884,0.005353344074430942,0.010706688148861884,0.0,-0.2344729383804191,0.0,0.005018611147669474,3.1270077232445224,3.0959615626489865,-0.37821814573070067,-1.2588539113200545
0.5,1.0,0.5,0.7853981633974483,0.08868281941607126,0.007864642459583505,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.01924907935129523,0.011675156797801836,0.015085245407042584,0.0212673611111111,0.9998492603889139,3.1218386197739063,0.24033388519956014,0.004747254934177017,0.0023736274670885086,0.004747254934177017,0.0,-0.24028699495749928,0.0,3.078447068678317,0.23114855901471965,0.014586312957156244,0.007293156478578122,0.014586312957156244,0.0,-0.2306878752966814,0.0,0.006872957169993359,3.1218386197739063,3.078447068678317,-0.4368844945600311,-1.5170641521464552
0.5,1.0,0.5,0.7853981633974483,0.10135179361836716,0.01027218606966009,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.025141654662916225,0.015249184388965666,0.0197031776745046,0.02777777777777777,0.9997428777123486,3.115937966462594,0.23901535895701634,0.006131191647105746,0.003065595823552873,0.006131191647105746,0.0,-0.23893670774148085,0.0,3.057522269435444,0.22711451096220345,0.019071120407539617,0.009535560203769809,0.019071120407539617,0.0,-0.22631238025349376,0.0,0.009039018210638947,3.115937966462594,3.057522269435444,-0.4935768477113152,-1.7994602035913922
0.5,1.0,0.5,0.7853981633974483,0.11402076782066306,0.013000735494413553,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.03181990668275335,0.019299748992284673,0.02493683424429489,0.03515624999999999,0.9995882162737154,3.109332395072896,0.2375661040156814,0.0076626146574826325,0.0038313073287413162,0.0076626146574826325,0.0,-0.2374424943303125,0.0,3.032852438883602,0.2226585027666893,0.024164246196851452,0.012082123098425726,0.024164246196851452,0.0,-0.22134339398328956,0.0,0.011526977871981516,3.109332395072896,3.032852438883602,-0.5480454520094664,-2.110673600010619
0.5,1.0,0.5,0.7853981633974483,0.12668974202295896,0.016050290733843894,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.03928383541080661,0.02382685060775886,0.030786215116413447,0.043402777777777776,0.9993725390941058,3.102051619076207,0.2360007589286878,0.00932928266518915,0.004664641332594575,0.00932928266518915,0.0,-0.23581629014949246,0.0,3.0040421306594407,0.21783522334875063,0.029868953069953335,0.014934476534976667,0.029868953069953335,0.0,-0.21577773326713995,0.0,0.01434766376682649,3.102051619076207,3.0040421306594407,-0.6000547136527866,-2.455589832559969
0.5,1.0,0.5,0.7853981633974483,0.13935871622525484,0.019420851787951107,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.04753344084707599,0.028830489235388213,0.037251320290860264,0.0525173611111111,0.9990816553920043,3.0941282396984295,0.23433450946230439,0.011118374338876271,0.0055591871694381356,0.011118374338876271,0.0,-0.234070596352894,0.0,2.9706328304033573,0.21271314910531733,0.036188517532831296,0.018094258766415648,0.036188517532831296,0.0,-0.20961220146040382,0.0,0.017512318239473607,3.0941282396984295,2.9706328304033573,-0.6493855302843353,-2.839130918270702
0.5,1.0,0.5,0.7853981633974483,0.15202769042755074,0.023112418656735204,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.05656872299156151,0.03431066487517275,0.04433214976763536,0.062499999999999986,0.9986999479602002,3.085597522015174,0.23258280459509362,0.013016700043851064,0.006508350021925532,0.013016700043851064,0.0,-0.2322182734267222,0.0,2.9321043779384164,0.20737751305821303,0.043126101186087076,0.021563050593043538,0.043126101186087076,0.0,-0.2028437140231284,0.0,0.021032360645558454,3.085597522015174,2.9321043779384164,-0.6958376552019818,-3.2658318360468144
0.5,1.0,0.5,0.7853981633974483,0.16469666462984664,0.027124991340196178,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.06638968184426317,0.04026737752711247,0.052028703546738726,0.07335069444444443,0.9982104098730066,3.0764971410929496,0.23076108727183034,0.015010904731337467,0.007505452365668733,0.015010904731337467,0.0,-0.23027234340672353,0.0,2.88788335184353,0.20193372938253074,0.05068460630888326,0.02534230315444163,0.05068460630888326,0.0,-0.19546943941611605,0.0,0.024919144800851587,3.0764971410929496,2.88788335184353,-0.7392320240184438,-3.739105006581545
0.5,1.0,0.5,0.7853981633974483,0.1773656388321425,0.03145856983833402,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.07699631740518093,0.04670062719120734,0.06034098162817034,0.0850694444444444,0.9975946923362918,3.066866899131573,0.22888454655332865,0.017087657321344436,0.008543828660672218,0.017087657321344436,0.0,-0.2282458052586973,0.0,2.8373631282023024,0.1965111324040047,0.058866515460897065,0.029433257730448532,0.058866515460897065,0.0,-0.1874869555894389,0.0,0.029183714695897048,3.066866899131573,2.8373631282023024,-0.7794129639673416,-4.260067731522615
0.5,1.0,0.5,0.7853981633974483,0.19003461303443842,0.03611315415114875,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.08838862967431484,0.053610413867457414,0.06926898401193024,0.09765624999999996,0.9968331655782079,3.056748415626075,0.22696789635684736,0.01923382289169083,0.009616911445845415,0.01923382289169083,0.0,-0.2261514670162979,0.0,2.7799419754621435,0.19126668807928393,0.06767371506637088,0.03383685753318544,0.06767371506637088,0.0,-0.17889442209843698,0.0,0.03383656102599433,3.056748415626075,2.7799419754621435,-0.8162502004494765,-4.825825840181123
0.5,1.0,0.5,0.7853981633974483,0.20270358723673432,0.04108874427864036,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.1005666186516649,0.060996737555862664,0.0788127106980184,0.11111111111111108,0.9959049947226419,3.0461847936673463,0.22502518447036038,0.021436615006446808,0.010718307503223404,0.021436615006446808,0.0,-0.2240017972762386,0.0,2.7150866020542472,0.1863880168502623,0.07710730320688491,0.03855365160344246,0.07710730320688491,0.0,-0.1696907676261003,0.0,0.03888738055709268,3.0461847936673463,2.7150866020542472,-0.8496405748903825,-5.427216404602761
0.5,1.0,0.5,0.7853981633974483,0.21537256143903022,0.04638534022080885,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.11353028433723109,0.0688595982564231,0.08897216168643486,0.12543402777777776,0.9947882325803409,3.035220266577055,0.22306963403457547,0.023683726516052942,0.011841863258026471,0.023683726516052942,0.0,-0.22180879767635964,0.0,2.6424274462217645,0.1820946278067447,0.08716738218425224,0.04358369109212612,0.08716738218425224,0.0,-0.15987589236411281,0.0,0.044344839884179935,3.035220266577055,2.6424274462217645,-0.8795093928425346,-6.046287039923245
0.5,1.0,0.5,0.7853981633974483,0.22804153564132612,0.05200294197765421,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.1272796267310134,0.07719899596913869,0.09974733697717957,0.14062499999999997,0.9934599312235678,3.0238998300501483,0.22111351829572065,0.02596343809013088,0.01298171904506544,0.02596343809013088,0.0,-0.21958389707729464,0.0,2.56188609299732,0.1786357872712045,0.097852836826858,0.048926418413429,0.097852836826858,0.0,-0.14945088430296866,0.0,0.050216344778199244,3.0238998300501483,2.56188609299732,-0.9058113315970745,-6.654274600241951
0.5,1.0,0.5,0.7853981633974483,0.240710509843622,0.05794154954917644,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.14181464583301182,0.08601493069400946,0.11113823657025253,0.15668402777777773,0.9918962740680108,3.0122688657927537,0.219168068194628,0.028264704565347028,0.014132352282673514,0.028264704565347028,0.0,-0.21733786736783528,0.0,2.4738217797308484,0.1762831731449999,0.10916110000472115,0.054580550002360576,0.10916110000472115,0.0,-0.13841824800158858,0.0,0.056507816087681295,3.0122688657927537,2.4738217797308484,-0.9285308516821417,-7.211435258102641
0.5,1.0,0.5,0.7853981633974483,0.2533794840459179,0.06420116293537557,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.15713534164322643,0.09530740243103544,0.12314486046565379,0.1736111111111111,0.9900727299596677,3.0003727632381545,0.21724341131206562,0.030577219880943106,0.015288609940471553,0.030577219880943106,0.0,-0.21508076014105904,0.0,2.379163118504461,0.17531683694136996,0.1210879073905417,0.06054395369527085,0.1210879073905417,0.0,-0.12678214384883424,0.0,0.06322347307879755,3.0003727632381545,2.379163118504461,-0.9476820757368243,-7.670352677348619
0.5,1.0,0.5,0.7853981633974483,0.26604845824821377,0.07078178213625154,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.17324171416165707,0.10507641118021652,0.13576720866338324,0.1914062499999999,0.9879642304447799,2.9882565462537776,0.2153485398573329,0.032891461922902446,0.016445730961451223,0.032891461922902446,0.0,-0.2128218629541137,0.0,2.2794707793471667,0.17600447935870148,0.13362704415217946,0.06681352207608973,0.13362704415217946,0.0,-0.1145486351969287,0.0,0.07036562516756137,2.9882565462537776,2.2794707793471667,-0.963308120056183,-7.983621946339545
0.5,1.0,0.5,0.7853981633974483,0.2787174324505097,0.07768340715180443,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.19013376338830396,0.11532195694155285,0.14900528116344106,0.2100694444444444,0.9855453709797514,2.9759645117944467,0.21349130477106737,0.03519871900294043,0.017599359501470214,0.03519871900294043,0.0,-0.2105696734893342,0.0,2.1768745175463433,0.17857666507750286,0.14677008697770855,0.07338504348885427,0.14677008697770855,0.0,-0.10172594004853674,0.0,0.07793447321483042,2.9759645117944467,2.1768745175463433,-0.9754798871295326,-8.114697447248144
0.5,1.0,0.5,0.7853981633974483,0.2913864066528056,0.08490603798203418,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.20781148932316693,0.12604403971504433,0.1628590779658271,0.2296006944444444,0.9827906363103728,2.9635398872039724,0.21167843260654293,0.03749109996871933,0.018745549984359663,0.03749109996871933,0.0,-0.20833188967102045,0.0,2.0738609941099204,0.18320336362590897,0.16050614560285453,0.08025307280142727,0.16050614560285453,0.0,-0.08832468322933451,0.0,0.08592792190304877,2.9635398872039724,2.0738609941099204,-0.9842943501689593,-8.048083132831023
0.5,1.0,0.5,0.7853981633974483,0.3040553808551015,0.09244967462694081,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.22627489196624603,0.137242659500691,0.17732859907054144,0.24999999999999994,0.9796746496148365,2.9510245123349343,0.2099155616389844,0.03976153009016807,0.019880765045084035,0.03976153009016807,0.0,-0.20611541364754582,0.0,1.9729526023708053,0.18997823168899455,0.17482160881092867,0.08741080440546434,0.17482160881092867,0.0,-0.07435814419709463,0.0,0.0943414051690678,2.9510245123349343,1.9729526023708053,-0.9898723814230992,-7.794101900015706
0.5,1.0,0.5,0.7853981633974483,0.3167243550573974,0.10031431708652432,compact,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.24552397131754125,0.14891781629849285,0.192413844477584,0.27126736111111105,0.9761724442673151,2.9384585518763435,0.20820729360486595,0.04200373491127145,0.021001867455635724,0.04200373491127145,0.0,-0.2039263675049563,0.0,1.8763744423071915,0.19891499819738293,0.18969990067846243,0.09484995033923121,0.18969990067846243,0.0,-0.059842494854796424,0.0,0.10316772719726484,2.9384585518763435,1.8763744423071915,-0.9923561936746597,-7.385736662664346
