lambda,g,g2,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_v4,d_exact_hmf_sym,d_exact_hmf_eq67,d_exact_hmf_ord,d_exact_hmf_collapsed_direct,d_sym_eq67,d_sym_ord,d_eq67_ord,d_eq67_collapsed_direct,d_exact_eq67_xonly,d_exact_eq67_zonly,d_exact_us,d_weak_tau,d_us_projector_vs_closed,q_reorg,alpha0,delta_x0,delta_y0,delta_z0,kernel_eff_v4,kernel_base_v4,lambda_paper_v4,sym_nonherm_maxabs,eq67_nonherm_maxabs,collapsed_direct_nonherm_maxabs,eq67_xonly_nonherm_maxabs,eq67_zonly_nonherm_maxabs,delta_x_amp_eq67,delta_z_amp_eq67,hx_v4,hy_v4,hz_v4,phi_v4,hx_v4_rot,hy_v4_rot,hx_eq67,hy_eq67,hz_eq67,phi_eq67,hx_eq67_rot,hy_eq67_rot,hx_num_lab,hy_num_lab,hz_num,hx_ord,hy_ord,hz_ord,hx_num_rot,hy_num_rot,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,sym_bloch_x,sym_bloch_y,sym_bloch_z,sym_coherence_hs,eq67_bloch_x,eq67_bloch_y,eq67_bloch_z,eq67_coherence_hs,ord_bloch_x,ord_bloch_y,ord_bloch_z,ord_coherence_hs,collapsed_direct_bloch_x,collapsed_direct_bloch_y,collapsed_direct_bloch_z,collapsed_direct_coherence_hs,eq67_xonly_bloch_x,eq67_xonly_bloch_y,eq67_xonly_bloch_z,eq67_xonly_coherence_hs,eq67_zonly_bloch_x,eq67_zonly_bloch_y,eq67_zonly_bloch_z,eq67_zonly_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs,res_sym_minus_exact_bloch_x,res_eq67_minus_exact_bloch_x,res_ord_minus_exact_bloch_x,res_sym_minus_ord_bloch_x,res_eq67_minus_ord_bloch_x,res_sym_minus_exact_bloch_y,res_eq67_minus_exact_bloch_y,res_ord_minus_exact_bloch_y,res_sym_minus_ord_bloch_y,res_eq67_minus_ord_bloch_y,res_sym_minus_exact_bloch_z,res_eq67_minus_exact_bloch_z,res_ord_minus_exact_bloch_z,res_sym_minus_ord_bloch_z,res_eq67_minus_ord_bloch_z
3.72,3.72,13.838400000000002,0.10811839784049768,0.5949574922039216,0.07106671727398124,0.07106671727398124,0.07106671727398124,0.22134885222927425,0.0030418728257626615,0.17413632243766275,0.1769781120549926,0.06891171445978726,0.21830701226989002,0.05276774759272476,0.2821874805652913,0.12481508091409405,0.00428197957854377,0.6819270795067001,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3807.5367283081036,275.1428437036148,13.838400000000002,8.326672684688674e-17,0.7165476645868533,1.1657341758564144e-15,0.9051482536448664,0.0,912.7151733621987,-233.05444589389504,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3460955788283344,-0.0,1.4115448667471924,-0.35566417503581377,-0.0,1.4091481071288612,0.3460955788283344,-4.238448428111702e-17,0.21345386291039084,0.0,-0.8705679092998979,0.21345386291039084,0.0,0.0,-0.9051482536448666,0.0,0.9997459329264513,0.0,0.02254039922050549,0.9997459329264513,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21935689402979194,0.0,-0.8690961128615834,0.21935689402979194,0.5592378250803247,0.0,-0.8290072707759734,0.5592378250803247,0.7413932584733398,0.0,-0.6710708131712207,0.7413932584733398,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1230673310889874,0.4300374424514757,0.005903031119401103,0.1171642999695863,0.4241344113320745,0.0,0.0,0.0,0.0,0.0,-0.07110798292057996,0.10511448816724589,0.001471796438314521,-0.07257977935889448,0.10364269172893137
3.73,3.73,13.9129,0.10812969259305347,0.5949522486918926,0.0710585344796335,0.0710585344796335,0.0710585344796335,0.22133752195272996,0.003037000850120614,0.17412507392072346,0.17697811205499264,0.06890721645174405,0.2183005541962761,0.052767747592725,0.2821762337802144,0.12482588739221795,0.004270649449215897,0.681930732348496,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3828.0348701640223,275.1428437036148,13.9129,0.0,0.7165476645868533,1.609823385706477e-15,0.9051482536448667,0.0,917.6288397120283,-234.30911089989968,-5.540844692607308,-0.0,15.504758578669874,-3.141592653589793,5.540844692607308,-6.78557771737414e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.34613128120327635,-0.0,1.4115361881343649,-0.35568450602161245,-0.0,1.409143082072027,0.34613128120327635,-4.2388856561036484e-17,0.21347587493177445,0.0,-0.8705625267739976,0.21347587493177445,0.0,0.0,-0.9051482536448666,0.0,0.9997456846770079,0.0,0.02255140726653282,0.9997456846770079,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.219369422597056,0.0,-0.8690929715448252,0.219369422597056,0.5592378250803244,0.0,-0.8290072707759737,0.5592378250803244,0.7413932584733399,0.0,-0.6710708131712205,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.12304531906760369,0.43001543043009205,0.005893547665281551,0.11715177140232214,0.4241218827648105,0.0,0.0,0.0,0.0,0.0,-0.07111336544648028,0.10510910564134557,0.001469555229172359,-0.07258292067565264,0.10363955041217321
3.74,3.74,13.987600000000002,0.10814092866377267,0.594947020966467,0.07105039525536994,0.07105039525536994,0.07105039525536994,0.22132625052582425,0.0030321471206411167,0.17411388387580687,0.17697811205499261,0.068902747102332,0.21829413672506348,0.05276774759272476,0.2821650453807869,0.12483663792509367,0.004259378167951689,0.6819343559065902,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3848.588040588683,275.1428437036148,13.987600000000002,8.326672684688674e-17,0.7165476645868533,1.3877787807814457e-15,0.9051482536448665,0.0,922.5556971124618,-235.56714413410845,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3461667978733125,-0.0,1.411527553499223,-0.3557047090994065,-0.0,1.4091380882509583,0.3461667978733125,-4.23932060986641e-17,0.21349777247763038,0.0,-0.8705571716128943,0.21349777247763038,0.0,0.0,-0.9051482536448666,0.0,0.9997454382965734,0.0,0.02256232712272216,0.9997454382965734,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21938187234932105,0.0,-0.8690898497856121,0.21938187234932105,0.5592378250803247,0.0,-0.8290072707759734,0.5592378250803247,0.7413932584733399,0.0,-0.6710708131712207,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1230234215217478,0.42999353288423614,0.005884099871690668,0.11713932165005714,0.42410943301254544,0.0,0.0,0.0,0.0,0.0,-0.07111872060758362,0.10510375048024223,0.001467321827282153,-0.07258604243486577,0.10363642865296008
3.75,3.75,14.0625,0.10815210650890947,0.5949418089985153,0.07104229925459853,0.07104229925459853,0.07104229925459853,0.22131503749113526,0.0030273115067519273,0.174102751848067,0.1769781120549926,0.06889830617684552,0.2182877595294012,0.052767747592724804,0.28215391491342834,0.12484733294608936,0.0042481652773418985,0.6819379504932166,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3869.1962395820833,275.1428437036148,14.0625,0.0,0.7165476645868533,1.3322676295501878e-15,0.9051482536448664,0.0,927.4957455634985,-236.82854559652117,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.34620213028398666,-0.0,1.4115189625087015,-0.35572478529977836,-0.0,1.4091331254180435,0.34620213028398666,-4.239753307102792e-17,0.21351955643887854,0.0,-0.8705518436085267,0.21351955643887854,0.0,0.0,-0.9051482536448666,0.0,0.9997451937668251,0.0,0.022573159728613956,0.9997451937668251,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21939424392155576,0.0,-0.8690867474285692,0.21939424392155576,0.5592378250803246,0.0,-0.8290072707759734,0.5592378250803246,0.7413932584733398,0.0,-0.6710708131712207,0.7413932584733398,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1230016375604997,0.42997174892298795,0.005874687482677221,0.11712695007782248,0.42409706144031073,0.0,0.0,0.0,0.0,0.0,-0.07112404861195121,0.10509842247587464,0.0014650961799574924,-0.0725891447919087,0.10363332629591715
3.7600000000000002,3.7600000000000002,14.137600000000003,0.10816322657999419,0.5949366127581717,0.0710342461344173,0.0710342461344173,0.0710342461344173,0.22130388239597268,0.003022493879215436,0.17409167738737202,0.17697811205499261,0.06889389344306317,0.2182814222858349,0.05276774759272476,0.28214284192924255,0.12485797288411798,0.00423701032470844,0.6819415164164576,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3889.859467144225,275.1428437036148,14.137600000000003,2.7755575615628914e-17,0.7165476645868533,1.4432899320127035e-15,0.9051482536448668,0.0,932.448985065139,-238.093315287138,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.346237279865779,-0.0,1.411510414832723,-0.35574473564258924,-0.0,1.4091281933281992,0.346237279865779,-4.240183765331126e-17,0.21354122769719325,0.0,-0.8705465425548625,0.21354122769719325,0.0,0.0,-0.9051482536448666,0.0,0.9997449510696585,0.0,0.022583906011268695,0.9997449510696585,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21940653794212395,0.0,-0.8690836643199126,0.21940653794212395,0.5592378250803247,0.0,-0.8290072707759734,0.5592378250803247,0.74139325847334,0.0,-0.6710708131712205,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.12297996630218494,0.42995007766467325,0.005865310244930699,0.11711465605725424,0.42408476741974255,0.0,0.0,0.0,0.0,0.0,-0.07112934966561535,0.1050931214222105,0.0014628782349499492,-0.0725922279005653,0.10363024318726055
3.77,3.77,14.2129,0.10817428932390265,0.5949314322149091,0.0710262355555022,0.0710262355555022,0.0710262355555022,0.22129278479231518,0.0030176941101101775,0.17408066004822959,0.17697811205499261,0.06888950867121449,0.21827512467426358,0.05276774759272476,0.2821318259839669,0.12486855816366851,0.004225912862042493,0.681945053980311,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3910.5777232751066,275.1428437036148,14.2129,5.551115123125783e-17,0.7165476645868533,1.4988010832439613e-15,0.905148253644867,0.0,937.415415617383,-239.36145320595878,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3462722480345179,-0.0,1.4115019101450312,-0.35576456113711813,-0.0,1.4091232917388434,0.3462722480345179,-4.240612001890307e-17,0.21356278712516835,0.0,-0.8705412682480479,0.21356278712516835,0.0,0.0,-0.9051482536448666,0.0,0.9997447101871848,0.0,0.022594566885467293,0.9997447101871848,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21941875503286973,0.0,-0.869080600307431,0.21941875503286973,0.5592378250803247,0.0,-0.8290072707759734,0.5592378250803247,0.74139325847334,0.0,-0.6710708131712205,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.12295840687420984,0.42992851823669814,0.005855967907701376,0.11710243896650846,0.42407255032899677,0.0,0.0,0.0,0.0,0.0,-0.07113462397242998,0.10508784711539587,0.0014606679406169443,-0.07259529191304692,0.10362717917477893
3.7800000000000002,3.7800000000000002,14.288400000000001,0.10818529518290602,0.5949262673375049,0.07101826718213092,0.07101826718213092,0.07101826718213092,0.22128174423675273,0.003012912072816681,0.17406969938974173,0.1769781120549926,0.06888515163394839,0.21826886637789544,0.05276774759272499,0.2821208666379038,0.12487908920489081,0.00421487244594613,0.6819485634847542,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3931.3510079747302,275.1428437036148,14.288400000000001,1.6653345369377348e-16,0.7165476645868533,1.5543122344752192e-15,0.9051482536448672,0.0,942.3950372202307,-240.6329593529837,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3463070361913185,-0.0,1.4114934481221497,-0.35578426278219877,-0.0,1.409118420409856,0.3463070361913185,-4.2410380339390476e-17,0.2135842355863822,0.0,-0.8705360204861866,0.2135842355863822,0.0,0.0,-0.9051482536448666,0.0,0.9997444711017263,0.0,0.022605143253904503,0.9997444711017263,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.2194308958092026,0.0,-0.8690775552404616,0.2194308958092026,0.5592378250803244,0.0,-0.8290072707759737,0.5592378250803244,0.74139325847334,0.0,-0.6710708131712203,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.12293695841299604,0.4299070697754843,0.0058466602228204045,0.11709029819017563,0.4240604095526639,0.0,0.0,0.0,0.0,0.0,-0.07113987173429126,0.10508259935353459,0.0014584652457250158,-0.07259833698001628,0.10362413410780957
3.79,3.79,14.3641,0.1081962445947372,0.5949211180941085,0.07101034068207937,0.07101034068207937,0.07101034068207937,0.2212707602904263,0.0030081476419994485,0.1740587949755361,0.17697811205499264,0.06888082210630093,0.2182626470832062,0.05276774759272493,0.2821099634558695,0.12488956642362772,0.004203888637572624,0.6819520452258078,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3952.1793212430935,275.1428437036148,14.3641,5.551115123125783e-17,0.7165476645868533,1.7208456881689926e-15,0.9051482536448664,0.0,947.3878498736817,-241.9078337282126,-5.540844692607308,-0.0,15.504758578669874,-3.141592653589793,5.540844692607308,-6.78557771737414e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3463416457229757,-0.0,1.4114850284441687,-0.3558038415663539,-0.0,1.4091135791035545,0.3463416457229757,-4.241461878460688e-17,0.21360557393555354,0.0,-0.8705307990694712,0.21360557393555354,0.0,0.0,-0.9051482536448666,0.0,0.9997442337958153,0.0,0.02261563600738048,0.9997442337958153,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.2194429608801794,0.0,-0.8690745289698746,0.2194429608801794,0.5592378250803245,0.0,-0.8290072707759736,0.5592378250803245,0.7413932584733398,0.0,-0.6710708131712207,0.7413932584733398,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.12291562006382459,0.4298857314263129,0.00583738694462585,0.11707823311919874,0.4240483444816871,0.0,0.0,0.0,0.0,0.0,-0.0711450931510067,0.10507737793681915,0.0014562700995965905,-0.07260136325060329,0.10362110783722256
3.8000000000000003,3.8000000000000003,14.440000000000001,0.10820713799264364,0.5949159844522113,0.07100245572663544,0.07100245572663544,0.07100245572663544,0.2212598325189682,0.003003400693589828,0.1740479463737154,0.17697811205499261,0.06887651986566411,0.21825646647989572,0.05276774759272505,0.28209911600712556,0.12489999023149774,0.004192961002566123,0.6819554994955984,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3973.062663080198,275.1428437036148,14.440000000000001,8.326672684688674e-17,0.7165476645868533,1.6653345369377348e-15,0.9051482536448658,0.0,952.3938535777365,-243.18607633164558,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.34637607800193615,-0.0,1.4114766507938123,-0.35582329846792904,-0.0,1.409108767584655,0.34637607800193615,-4.2418835522628504e-17,0.21362680301861686,0.0,-0.8705256037999868,0.21362680301861686,0.0,0.0,-0.9051482536448666,0.0,0.9997439982521901,0.0,0.022626046024988133,0.9997439982521901,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21945495084858785,0.0,-0.8690715213480509,0.21945495084858785,0.5592378250803243,0.0,-0.8290072707759737,0.5592378250803243,0.7413932584733396,0.0,-0.6710708131712209,0.7413932584733396,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.12289439098076133,0.42986450234324963,0.005828147829970987,0.11706624315079034,0.42403635451327865,0.0,0.0,0.0,0.0,0.0,-0.07115028842049109,0.10507218266733476,0.0014540824519359008,-0.072604370872427,0.10361810021539886
3.81,3.81,14.5161,0.10821797580545414,0.5949108663787612,0.07099461199044463,0.07099461199044463,0.07099461199044463,0.22124896049244763,0.002998671104773298,0.17403715315678547,0.1769781120549927,0.06887224469175507,0.21825032426084745,0.05276774759272493,0.28208832386534416,0.12491036103589795,0.004182089111008212,0.6819589265824201,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,3994.0010334860426,275.1428437036148,14.5161,8.326672684688674e-17,0.7165476645868533,1.609823385706477e-15,0.9051482536448672,0.0,957.4130483323947,-244.46768716328253,-5.5408446926073065,-0.0,15.504758578669874,-3.141592653589793,5.5408446926073065,-6.785577717374138e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3464103343868601,-0.0,1.4114683148579958,-0.3558426344552237,-0.0,1.4091039856202503,0.3464103343868601,-4.242303071984325e-17,0.21364792367290436,0.0,-0.870520434481999,0.21364792367290436,0.0,0.0,-0.9051482536448666,0.0,0.999743764453793,0.0,0.022636374174297813,0.999743764453793,0.336521193999378,0.0,-0.9416758922204779,0.336521193999378,0.336521193999378,0.0,-0.9416758922204779,0.336521193999378,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21946686631102602,0.0,-0.8690685322288638,0.21946686631102602,0.5592378250803245,0.0,-0.8290072707759736,0.5592378250803245,0.7413932584733403,0.0,-0.6710708131712205,0.7413932584733403,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.12287327032647366,0.42984338168896213,0.00581894263812166,0.117054327688352,0.4240244390508405,0.0,0.0,0.0,0.0,0.0,-0.07115545773847887,0.10506701334934698,0.0014519022531351844,-0.07260735999161405,0.1036151110962118
