sx,sz,scale,d_mean,d_max,d_last
1,1,7.616469411568596,0.16968304922062252,0.26483386524174846,0.1587637896968361
1,1,7.621436906151025,0.1696835980547154,0.2648390502232244,0.15876378969683597
1,1,7.626404400733456,0.16968414613049482,0.264844190793534,0.1587637896968361
1,1,7.631371895315887,0.16968469344966788,0.2648492872990551,0.1587637896968361
1,1,7.636339389898317,0.16968524001394014,0.26485434008379394,0.15876378969683597
1,1,7.6413068844807475,0.16968578582501584,0.2648593494893957,0.15876378969683597
1,1,7.646274379063178,0.16968633088459775,0.2648643158551606,0.1587637896968361
1,1,7.651241873645608,0.16968687519438735,0.26486923951805486,0.1587637896968361
1,1,7.656209368228039,0.1696874187560845,0.2648741208127249,0.15876378969683597
1,1,7.661176862810469,0.16968796157138782,0.26487896007150946,0.15876378969683616
1,1,7.666144357392899,0.16968850364199448,0.2648837576244534,0.1587637896968361
1,1,7.67111185197533,0.16968904496960008,0.2648885137993199,0.15876378969683627
1,1,7.67607934655776,0.16968958555589894,0.2648932289216029,0.15876378969683616
1,1,7.681046841140191,0.1696901254025839,0.26489790331454205,0.1587637896968361
1,1,7.686014335722621,0.16969066451134646,0.2649025372991325,0.15876378969683622
1,1,7.690981830305051,0.16969120288387643,0.26490713119413956,0.15876378969683597
1,1,7.695949324887482,0.16969174052186253,0.2649116853161111,0.15876378969683616
1,1,7.700916819469913,0.16969227742699172,0.2649161999793895,0.15876378969683627
1,1,7.7058843140523425,0.16969281360094962,0.26492067549612464,0.15876378969683627
1,1,7.710851808634773,0.16969334904542052,0.2649251121762867,0.15876378969683608
1,1,7.715819303217203,0.16969388376208702,0.26492951032767836,0.15876378969683627
1,1,7.720786797799634,0.16969441775263056,0.26493387025594695,0.1587637896968361
1,1,7.725754292382065,0.16969495101873078,0.26493819226459725,0.15876378969683616
1,1,7.730721786964494,0.16969548356206615,0.264942476655004,0.15876378969683622
1,1,7.735689281546925,0.16969601538431342,0.26494672372642303,0.15876378969683616
1,1,7.740656776129356,0.16969654648714805,0.26495093377600576,0.15876378969683616
1,1,7.745624270711786,0.16969707687224392,0.2649551070988091,0.1587637896968361
1,1,7.7505917652942165,0.16969760654127347,0.2649592439878087,0.1587637896968361
1,1,7.755559259876647,0.16969813549590756,0.26496334473391087,0.1587637896968361
1,1,7.760526754459077,0.16969866373781567,0.26496740962596477,0.1587637896968361
1,1,7.765494249041508,0.16969919126866576,0.2649714389507748,0.15876378969683597
1,1,7.770461743623938,0.16969971809012416,0.26497543299311144,0.1587637896968361
1,1,7.775429238206368,0.16970024420385577,0.2649793920357244,0.1587637896968361
1,1,7.780396732788799,0.16970076961152408,0.26498331635935374,0.15876378969683616
1,1,7.785364227371229,0.16970129431479086,0.26498720624274175,0.15876378969683602
1,1,7.79033172195366,0.1697018183153165,0.2649910619626453,0.1587637896968361
1,1,7.79529921653609,0.1697023416147598,0.2649948837938475,0.15876378969683613
1,1,7.80026671111852,0.169702864214778,0.26499867200916866,0.1587637896968361
1,1,7.805234205700951,0.1697033861170268,0.2650024268794783,0.15876378969683627
1,1,7.810201700283381,0.16970390732316035,0.26500614867370703,0.15876378969683622
1,1,7.8151691948658115,0.16970442783483136,0.2650098376588581,0.15876378969683597
1,1,7.820136689448242,0.1697049476536907,0.26501349410001895,0.1587637896968359
1,1,7.825104184030672,0.16970546678138798,0.2650171182603721,0.15876378969683622
1,1,7.830071678613103,0.16970598521957106,0.26502071040120667,0.1587637896968362
1,1,7.835039173195534,0.16970650296988615,0.2650242707819305,0.1587637896968361
1,1,7.840006667777963,0.16970702003397817,0.2650277996600814,0.1587637896968361
1,1,7.844974162360394,0.16970753641349004,0.26503129729133706,0.15876378969683622
1,1,7.849941656942825,0.16970805211006337,0.26503476392952796,0.1587637896968361
1,1,7.854909151525255,0.16970856712533805,0.26503819982664767,0.1587637896968359
1,1,7.859876646107685,0.16970908146095248,0.2650416052328639,0.15876378969683597
1,1,7.864844140690115,0.1697095951185432,0.26504498039652996,0.15876378969683602
1,1,7.869811635272546,0.16971010809974535,0.2650483255641962,0.1587637896968359
1,1,7.874779129854977,0.16971062040619223,0.26505164098061995,0.1587637896968361
1,1,7.879746624437407,0.16971113203951566,0.2650549268887768,0.15876378969683602
1,1,7.884714119019837,0.16971164300134578,0.2650581835298726,0.15876378969683605
1,1,7.889681613602268,0.16971215329331105,0.2650614111433527,0.15876378969683616
1,1,7.894649108184698,0.16971266291703818,0.2650646099669134,0.15876378969683622
1,1,7.899616602767129,0.16971317187415239,0.2650677802365133,0.1587637896968361
1,1,7.9045840973495585,0.16971368016627705,0.26507092218638323,0.1587637896968361
1,1,7.909551591931989,0.16971418779503392,0.2650740360490375,0.15876378969683622
1,1,7.91451908651442,0.16971469476204304,0.26507712205528355,0.1587637896968361
1,1,7.91948658109685,0.1697152010689228,0.26508018043423376,0.15876378969683597
1,1,7.9244540756792805,0.16971570671728975,0.26508321141331526,0.1587637896968361
1,1,7.929421570261711,0.16971621170875895,0.2650862152182804,0.1587637896968359
1,1,7.934389064844141,0.16971671604494354,0.26508919207321774,0.15876378969683597
1,1,7.939356559426572,0.16971721972745493,0.26509214220056126,0.15876378969683597
1,1,7.9443240540090025,0.16971772275790292,0.2650950658211022,0.15876378969683633
1,1,7.949291548591432,0.16971822513789545,0.26509796315399825,0.1587637896968361
1,1,7.954259043173863,0.16971872686903872,0.26510083441678417,0.15876378969683616
1,1,7.959226537756293,0.16971922795293717,0.26510367982538224,0.1587637896968361
1,1,7.964194032338724,0.16971972839119354,0.2651064995941117,0.1587637896968361
1,1,7.969161526921154,0.16972022818540872,0.2651092939356995,0.1587637896968361
1,1,7.974129021503584,0.16972072733718183,0.2651120630612903,0.15876378969683597
1,1,7.979096516086015,0.16972122584811006,0.2651148071804563,0.1587637896968361
1,1,7.984064010668446,0.16972172371978897,0.26511752650120674,0.15876378969683605
1,1,7.989031505250876,0.16972222095381231,0.26512022122999923,0.15876378969683602
1,1,7.993998999833306,0.1697227175517719,0.2651228915717474,0.15876378969683616
1,1,7.998966494415737,0.16972321351525782,0.2651255377298336,0.15876378969683602
1,1,8.003933988998167,0.1697237088458582,0.2651281599061157,0.1587637896968361
1,1,8.008901483580598,0.16972420354515944,0.26513075830093935,0.15876378969683616
1,1,8.013868978163027,0.16972469761474593,0.26513333311314546,0.15876378969683602
