sx,sz,scale,d_mean,d_max,d_last
1,1,0.5,0.1575052449664439,0.18833031120755944,0.15876378969683605
1,1,0.5208333333333334,0.1580265741062898,0.1899765226028634,0.1587637896968361
1,1,0.5416666666666666,0.15850780723072927,0.19162255680292523,0.15876378969683608
1,1,0.5625,0.1589533981308677,0.19329789970537048,0.15876378969683597
1,1,0.5833333333333334,0.15936716467985415,0.19494734323969298,0.1587637896968361
1,1,0.6041666666666666,0.15975239837204644,0.19656415463911553,0.15876378969683597
1,1,0.625,0.16011195198970923,0.19819837368506782,0.15876378969683622
1,1,0.6458333333333333,0.16044831032237242,0.19981316415460915,0.1587637896968359
1,1,0.6666666666666666,0.16076364763864484,0.20139292583643,0.1587637896968361
1,1,0.6875,0.1610598747163503,0.20293012835914215,0.15876378969683622
1,1,0.7083333333333333,0.16133867757824744,0.20447339497061973,0.15876378969683597
1,1,0.7291666666666666,0.16160154959068268,0.20600168546930608,0.15876378969683622
1,1,0.75,0.16184981821474606,0.207473970510267,0.15876378969683613
1,1,0.7708333333333333,0.16208466742098618,0.20885498167851618,0.15876378969683616
1,1,0.7916666666666666,0.1623071565660815,0.21028461856988592,0.15876378969683608
1,1,0.8125,0.16251823636621476,0.2116591389596859,0.1587637896968361
1,1,0.8333333333333333,0.1627187624750299,0.21292481829504256,0.15876378969683602
1,1,0.8541666666666666,0.16290950707500412,0.21428237937087657,0.15876378969683608
1,1,0.875,0.1630911688132353,0.21544268420663898,0.1587637896968361
1,1,0.8958333333333333,0.16326438135108337,0.2167561742766172,0.15876378969683602
1,1,0.9166666666666666,0.16342972074813925,0.21785837558248883,0.1587637896968361
1,1,0.9375,0.16358771186180637,0.21908279530852462,0.15876378969683622
1,1,0.9583333333333333,0.1637388339122658,0.22016758490724544,0.15876378969683622
1,1,0.9791666666666666,0.16388352533710565,0.22123608847870957,0.15876378969683605
1,1,1.0,0.16402218803919025,0.22234130034679989,0.15876378969683602
1,1,1.0208333333333333,0.1641551911144352,0.2232652196896701,0.15876378969683616
1,1,1.0416666666666665,0.16428287413229203,0.22432185005093191,0.15876378969683613
1,1,1.0625,0.16440555003032728,0.22530715088295536,0.15876378969683608
1,1,1.0833333333333333,0.16452350767483911,0.22613725073371543,0.158763789696836
1,1,1.1041666666666665,0.16463701413161477,0.22709869961652412,0.1587637896968361
1,1,1.125,0.1647463166843993,0.22802480719581825,0.15876378969683602
1,1,1.1458333333333333,0.16485164463318236,0.2288124962564442,0.15876378969683622
1,1,1.1666666666666665,0.16495321089982345,0.22956363507356806,0.15876378969683608
1,1,1.1875,0.16505121346467336,0.23048117427291837,0.15876378969683613
1,1,1.2083333333333333,0.16514583665458785,0.23127019610153993,0.15876378969683605
1,1,1.2291666666666665,0.16523725229996364,0.23194606470464715,0.15876378969683613
1,1,1.25,0.1653256207760759,0.2326054397529343,0.15876378969683616
1,1,1.2708333333333333,0.16541109194199416,0.2334379059641386,0.15876378969683622
1,1,1.2916666666666665,0.1654938059886389,0.23416005069993245,0.15876378969683602
1,1,1.3125,0.16557389420607427,0.23478436113688914,0.158763789696836
1,1,1.3333333333333333,0.1656514796788696,0.23532228932457697,0.15876378969683622
1,1,1.3541666666666665,0.165726677917276,0.23598727095886257,0.1587637896968361
1,1,1.375,0.1657995974310255,0.23669755924366281,0.15876378969683622
1,1,1.3958333333333333,0.16587034025174643,0.23731838988370346,0.15876378969683622
1,1,1.4166666666666665,0.16593900240928477,0.2378594377764195,0.1587637896968361
1,1,1.4375,0.16600567436660774,0.23832959655747904,0.15876378969683597
1,1,1.4583333333333333,0.16607044141743035,0.2387943177507011,0.15876378969683616
1,1,1.4791666666666665,0.16613338405024128,0.2394569580595327,0.15876378969683616
1,1,1.5,0.16619457828199358,0.24004184984136462,0.15876378969683608
1,1,1.5208333333333333,0.16625409596436916,0.24055680676778585,0.15876378969683605
1,1,1.5416666666666665,0.16631200506521215,0.24100906032675706,0.15876378969683616
1,1,1.5625,0.16636836992744772,0.2414052702862154,0.15876378969683613
1,1,1.5833333333333333,0.16642325150756013,0.24175154147932873,0.15876378969683613
1,1,1.6041666666666665,0.166476707595489,0.24228064134339292,0.15876378969683594
1,1,1.625,0.16652879301761017,0.2428178848350191,0.15876378969683608
1,1,1.6458333333333333,0.1665795598243011,0.24329554492836666,0.15876378969683622
1,1,1.6666666666666665,0.16662905746343867,0.24371932673519345,0.15876378969683608
1,1,1.6875,0.16667733294104567,0.24409451940791632,0.1587637896968361
1,1,1.7083333333333333,0.16672443097018297,0.2444260069782298,0.15876378969683608
1,1,1.7291666666666665,0.1667703941090783,0.24471828237123014,0.15876378969683627
1,1,1.75,0.16681526288938886,0.24499899865805694,0.15876378969683622
1,1,1.7708333333333333,0.16685907593541063,0.24549382971203487,0.15876378969683602
1,1,1.7916666666666665,0.16690187007497015,0.24593818338373544,0.15876378969683597
1,1,1.8125,0.16694368044266925,0.2463364944582447,0.15876378969683594
1,1,1.8333333333333333,0.16698454057609027,0.24669290292947982,0.15876378969683605
1,1,1.8541666666666665,0.16702448250551558,0.2470112605410857,0.15876378969683616
1,1,1.875,0.1670635368376656,0.24729513932397132,0.15876378969683622
1,1,1.8958333333333333,0.16710173283391652,0.24754784172512256,0.15876378969683613
1,1,1.9166666666666665,0.16713909848341588,0.24777241196285518,0.15876378969683627
1,1,1.9375,0.1671756605714816,0.24797164828398732,0.15876378969683602
1,1,1.9583333333333333,0.16721144474363525,0.24833357515296683,0.15876378969683616
1,1,1.9791666666666665,0.16724647556559094,0.24871990967053126,0.1587637896968359
1,1,2.0,0.16728077657949486,0.24906946805198932,0.1587637896968361
1,1,2.020833333333333,0.16731437035668636,0.2493852911010338,0.15876378969683608
1,1,2.0416666666666665,0.16734727854722845,0.24967022417253532,0.15876378969683627
1,1,2.0625,0.16737952192643699,0.24992692272834624,0.15876378969683608
1,1,2.083333333333333,0.16741112043861772,0.2501578587511932,0.1587637896968361
1,1,2.1041666666666665,0.16744209323820503,0.25036532783228693,0.15876378969683627
1,1,2.125,0.1674724587284813,0.25055145676707746,0.15876378969683608
