lambda,trace_distance_to_tau,trace_distance_to_ultrastrong,coherence_hs_basis,coherence_x_basis,expect_sigma_z,expect_x
0.0,2.233456475320139e-16,0.12399617567233268,0.0,0.24618048573713108,-0.9950547536867301,-0.9641209111292988
0.2,0.04886670950074941,0.07524830165363595,0.09746063471231123,0.14994436517250184,-0.9877577768335424,-0.9811629265145948
0.4,0.08229449927878396,0.041874483127301874,0.16390166610759738,0.08365662029990326,-0.9800286998688861,-0.9901119020593295
0.6000000000000001,0.09486214669885296,0.029287185639383713,0.188748537201983,0.05854529505421044,-0.9758376464806388,-0.992198352655242
0.8,0.10154575784525292,0.022579977659014976,0.20191873979697045,0.04514694425088923,-0.9732605740905556,-0.9929597554710269
1.0,0.10583925746555849,0.018267361506263992,0.21036319080705473,0.036527887600665526,-0.9714937342495799,-0.993337033015558
1.2000000000000002,0.10885225462315418,0.015239295335068959,0.21628166006482788,0.030474637931763887,-0.970205269471194,-0.9935528762139424
1.4000000000000001,0.11108140465088559,0.012998150651868316,0.22065636248123316,0.025993855561183103,-0.9692267933838769,-0.9936871372769731
1.6,0.11279186525419574,0.011278005353324017,0.22401076451782945,0.022554417109510748,-0.9684615806865006,-0.9937756055340199
1.8,0.11413986978698001,0.009922075985264019,0.2266528771255288,0.019843069480683727,-0.9678497396144138,-0.9938364542391034
2.0,0.1152240269713008,0.008831358656511443,0.22877689090933073,0.017661955938140246,-0.967352050717663,-0.9938797267045177
2.2,0.11611009204629702,0.007939808689153985,0.23051217725782183,0.015879065554313433,-0.9669415888727722,-0.9939113418374218
2.4000000000000004,0.11684395984619221,0.007201313976528871,0.2319489595525906,0.014402217343174754,-0.9665991044650908,-0.9939349700688898
2.6,0.11745886110196044,0.006582477004440448,0.23315251852428454,0.013164641270149314,-0.9663103749099733,-0.9939529816712147
2.8000000000000003,0.11797953213718114,0.006058431268973914,0.23417141758042953,0.012116619352186539,-0.9660646312032928,-0.9939669572018257
3.0,0.11842475150451381,0.005610295505899377,0.2350425037388368,0.011220398388913116,-0.9658535805629969,-0.9939779777792749
3.2,0.11880897122201876,0.005223536130654527,0.23579412154820928,0.01044691716398486,-0.9656707646000486,-0.9939867983437723
3.4000000000000004,0.11914342532262724,0.004886854059745618,0.23644829561267305,0.009773581402316878,-0.9655111132154583,-0.9939939553876894
3.6,0.1194369179344954,0.004591393097362498,0.23702228097544337,0.009182681313235134,-0.9653706201476909,-0.9939998361604687
3.8000000000000003,0.11969640084880728,0.004330159610928872,0.237529698514366,0.008660231405409329,-0.965246100105802,-0.9940047242532555
4.0,0.1199274043416024,0.004097589542856257,0.23798138129352103,0.008195104796556493,-0.9651350042545491,-0.994008830210866
4.2,0.12013436156229995,0.0038892223203909736,0.23838601145984245,0.007778381213489519,-0.9650352791378062,-0.994012312411679
4.4,0.12032085406335055,0.0037014539935092323,0.2387506020774618,0.007402853383769788,-0.9649452585434055,-0.9940152915018604
4.6000000000000005,0.12048979834379683,0.0035313496508711873,0.23908086305854306,0.007062651943396579,-0.9648635804916147,-0.994017860497206
4.800000000000001,0.12064358810911441,0.003376500348535543,0.2393814801313101,0.006752959344652664,-0.9647891233858468,-0.9940200919365648
5.0,0.12078420322985789,0.0032349135182014876,0.23965632844436857,0.00646979070667897,-0.9647209567590234,-0.9940220430059347
5.2,0.1209132936175526,0.003104928596305218,0.23990863695840794,0.0062098250970786684,-0.9646583031285362,-0.9940237592504173
5.4,0.1210322441629253,0.002985151697437928,0.2401411156945673,0.005970274895069913,-0.9646005083106868,-0.9940252772932608
5.6000000000000005,0.12114222532760058,0.0028744047166151454,0.2403560548522332,0.005748784007557593,-0.9645470181896001,-0.9940266268491065
5.800000000000001,0.12124423282023374,0.0027716854107327007,0.24055540252887364,0.005543348040306357,-0.9644973604268376,-0.9940278322304007
6.0,0.12133911892501711,0.0026761358769601153,0.24074082607929714,0.005352251260720393,-0.9644511299690172,-0.9940289134860709
6.2,0.12142761740995123,0.002587017489733212,0.24091376089413052,0.005174016476228081,-0.9644079774896219,-0.9940298872706399
6.4,0.12151036346702232,0.002503690835821429,0.2410754494446106,0.005007364907682524,-0.964367600110185,-0.9940307675137022
6.6000000000000005,0.12158790978351317,0.0024255995418328144,0.24122697274844965,0.004851183846822524,-0.9643297339029507,-0.9940315659404391
6.800000000000001,0.12166073958085105,0.0023522571527855953,0.2413692758959737,0.004704500415272728,-0.964294147793934,-0.9940322924794841
7.0,0.12172927726110178,0.002283236417829583,0.24150318889089364,0.0045664601374072016,-0.9642606385740974,-0.9940329555852814
7.2,0.1217938971538686,0.0022181604873820447,0.24162944377115061,0.0044363093357177846,-0.9642290267925785,-0.9940335624947461
7.4,0.12185493074527046,0.0021566956376826174,0.24174868875754016,0.004313380580777039,-0.9641991533563429,-0.9940341194330524
7.6000000000000005,0.12191267268645258,0.002098545223499641,0.2418615000127799,0.004197080597320296,-0.9641708766991413,-0.99403463177984
7.800000000000001,0.12196738581486953,0.0020434446243055163,0.2419683914678324,0.004086880157125278,-0.9641440704118049,-0.9940351042042505
8.0,0.1220193053723555,0.0019911569987722515,0.24206982307587116,0.003982305588424017,-0.9641186212486735,-0.9940355407753925
