lambda,g,g2,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_v4,d_exact_hmf_sym,d_exact_hmf_eq67,d_exact_hmf_ord,d_exact_hmf_collapsed_direct,d_sym_eq67,d_sym_ord,d_eq67_ord,d_eq67_collapsed_direct,d_exact_eq67_xonly,d_exact_eq67_zonly,d_exact_us,d_weak_tau,d_us_projector_vs_closed,q_reorg,alpha0,delta_x0,delta_y0,delta_z0,kernel_eff_v4,kernel_base_v4,lambda_paper_v4,sym_nonherm_maxabs,eq67_nonherm_maxabs,collapsed_direct_nonherm_maxabs,eq67_xonly_nonherm_maxabs,eq67_zonly_nonherm_maxabs,delta_x_amp_eq67,delta_z_amp_eq67,hx_v4,hy_v4,hz_v4,phi_v4,hx_v4_rot,hy_v4_rot,hx_eq67,hy_eq67,hz_eq67,phi_eq67,hx_eq67_rot,hy_eq67_rot,hx_num_lab,hy_num_lab,hz_num,hx_ord,hy_ord,hz_ord,hx_num_rot,hy_num_rot,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,sym_bloch_x,sym_bloch_y,sym_bloch_z,sym_coherence_hs,eq67_bloch_x,eq67_bloch_y,eq67_bloch_z,eq67_coherence_hs,ord_bloch_x,ord_bloch_y,ord_bloch_z,ord_coherence_hs,collapsed_direct_bloch_x,collapsed_direct_bloch_y,collapsed_direct_bloch_z,collapsed_direct_coherence_hs,eq67_xonly_bloch_x,eq67_xonly_bloch_y,eq67_xonly_bloch_z,eq67_xonly_coherence_hs,eq67_zonly_bloch_x,eq67_zonly_bloch_y,eq67_zonly_bloch_z,eq67_zonly_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs,res_sym_minus_exact_bloch_x,res_eq67_minus_exact_bloch_x,res_ord_minus_exact_bloch_x,res_sym_minus_ord_bloch_x,res_eq67_minus_ord_bloch_x,res_sym_minus_exact_bloch_y,res_eq67_minus_exact_bloch_y,res_ord_minus_exact_bloch_y,res_sym_minus_ord_bloch_y,res_eq67_minus_ord_bloch_y,res_sym_minus_exact_bloch_z,res_eq67_minus_exact_bloch_z,res_ord_minus_exact_bloch_z,res_sym_minus_ord_bloch_z,res_eq67_minus_ord_bloch_z
1.74,1.74,3.0276,0.10347322744358975,0.5960758513741269,0.07451807053607362,0.07451807053607362,0.07451807053607362,0.22600713252077054,0.004719324549618255,0.17876491369169,0.17697811205499264,0.07102751687301401,0.22128784365089835,0.05276774759272489,0.28680887352506723,0.12038846252564847,0.008940201609209445,0.6794863088549766,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,833.0224735970642,275.1428437036148,3.0276,8.326672684688674e-17,0.7165476645868533,1.5543122344752192e-15,0.905148253644867,0.0,199.68612403683898,-50.98823855274862,-5.540844692607308,-0.0,15.504758578669874,-3.141592653589793,5.540844692607308,-6.78557771737414e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.33139421170381533,-0.0,1.4150180255264762,-0.3462708535603525,-0.0,1.4114288947549698,0.33139421170381533,-4.058408606190378e-17,0.20439153096010546,0.0,-0.8727300911097123,0.20439153096010546,0.0,0.0,-0.9051482536448666,0.0,0.9998845009718635,0.0,0.015198181346702477,0.9998845009718635,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.33652119399937813,0.0,-0.9416758922204779,0.33652119399937813,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21356905990657762,0.0,-0.8705253101103423,0.21356905990657762,0.5592378250803246,0.0,-0.8290072707759736,0.5592378250803246,0.74139325847334,0.0,-0.6710708131712206,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13212966303927268,0.43909977440176107,0.009177528946472169,0.12295213409280051,0.4299222454552889,0.0,0.0,0.0,0.0,0.0,-0.06894580111076554,0.10727666997706031,0.0022047809993700485,-0.07115058211013559,0.10507188897769026
1.75,1.75,3.0625,0.1035216027778117,0.5960754960672257,0.07448128469498447,0.07448128469498447,0.07448128469498447,0.22595863675483308,0.004703710598062909,0.17871668756184395,0.1769781120549926,0.07100375677962492,0.2212549600632013,0.05276774759272476,0.28676078782291103,0.12043437236552658,0.008891705710714536,0.6795219831685828,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,842.6249588423203,275.1428437036148,3.0625,1.3877787807814457e-16,0.7165476645868533,1.3322676295501878e-15,0.9051482536448665,0.0,201.9879623671619,-51.5759943743535,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3315474986830899,-0.0,1.4149828548118955,-0.34637457808338534,-0.0,1.411404155812969,0.3315474986830899,-4.0602858302755735e-17,0.2044860037889395,0.0,-0.8727081053533138,0.2044860037889395,0.0,0.0,-0.9051482536448666,0.0,0.9998828669494051,0.0,0.015305305649948309,0.9998828669494051,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21363296468558682,0.0,-0.8705097696381596,0.21363296468558682,0.5592378250803247,0.0,-0.8290072707759734,0.5592378250803247,0.7413932584733399,0.0,-0.6710708131712207,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13203519021043875,0.439005301572927,0.009146960896647321,0.12288822931379143,0.4298583406762797,0.0,0.0,0.0,0.0,0.0,-0.0689677868671641,0.10725468422066176,0.002198335715154154,-0.07116612258231825,0.1050563485055076
1.76,1.76,3.0976,0.1035694584492858,0.5960748978417851,0.07444491066239892,0.07444491066239892,0.07444491066239892,0.22591066159833717,0.004688242350349982,0.17866897994608943,0.1769781120549926,0.07098027655033488,0.22122245145014163,0.05276774759272476,0.28671321779413894,0.12047979310239304,0.008843730452842466,0.6795570491301223,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,852.2824726563172,275.1428437036148,3.0976,1.942890293094024e-16,0.7165476645868533,1.3877787807814457e-15,0.905148253644866,0.0,204.3029917480884,-52.16711842416241,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3316991351869452,-0.0,1.414948040960011,-0.3464771176238687,-0.0,1.411379689680319,0.3316991351869452,-4.062142841866377e-17,0.2045794597772313,0.0,-0.8726863447181021,0.2045794597772313,0.0,0.0,-0.9051482536448666,0.0,0.9998812495196875,0.0,0.01541060864950411,0.9998812495196875,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21369613953957323,0.0,-0.8704944014128668,0.21369613953957323,0.5592378250803247,0.0,-0.8290072707759734,0.5592378250803247,0.7413932584733397,0.0,-0.6710708131712211,0.7413932584733397,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13194173422214694,0.4389118455846352,0.009116679762341928,0.12282505445980502,0.42979516582229327,0.0,0.0,0.0,0.0,0.0,-0.06898954750237574,0.10723292358545011,0.002191943305235311,-0.07118149080761105,0.1050409802802148
1.77,1.77,3.1329000000000002,0.10361680282403295,0.5960740649241603,0.07440894156873426,0.07440894156873426,0.07440894156873426,0.22586319867595467,0.004672917531612562,0.17862178249063276,0.17697811205499261,0.07095707148122542,0.22119031170895231,0.05276774759272493,0.2866661551511668,0.1205247325407453,0.008796267458849847,0.6795915205036753,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,861.9950150390549,275.1428437036148,3.1329000000000002,8.326672684688674e-17,0.7165476645868533,1.4988010832439613e-15,0.9051482536448665,0.0,206.63121217961847,-52.761610702175375,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3318491478466959,-0.0,1.4149135785680333,-0.34657849150647835,-0.0,1.411355492082331,0.3318491478466959,-4.063979967102329e-17,0.20467191532603946,0.0,-0.8726648057572326,0.20467191532603946,0.0,0.0,-0.9051482536448666,0.0,0.9998796486212366,0.0,0.01551413139921809,0.9998796486212366,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.2137585963696504,0.0,-0.8704792027190096,0.2137585963696504,0.5592378250803245,0.0,-0.8290072707759736,0.5592378250803245,0.7413932584733399,0.0,-0.6710708131712207,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13184927867333873,0.43881939003582704,0.009086681043610934,0.1227625976297278,0.4297327089922161,0.0,0.0,0.0,0.0,0.0,-0.06901108646324527,0.10721138462458057,0.0021856030382230163,-0.07119668950146829,0.10502578158635756
1.78,1.78,3.1684,0.10366364408803543,0.5960730052654204,0.07437337069677896,0.07437337069677896,0.07437337069677896,0.22581623979246415,0.0046577339156629715,0.17857508702156802,0.17697811205499261,0.0709341369727605,0.22115853486837622,0.05276774759272496,0.286619591784458,0.12056919831868734,0.008749308532158537,0.679625410665982,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,871.7625859905331,275.1428437036148,3.1684,1.1102230246251565e-16,0.7165476645868533,1.5543122344752192e-15,0.9051482536448661,0.0,208.97262366175207,-53.359471208392364,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.33199756271929337,-0.0,1.4148794623421022,-0.34667871863861865,-0.0,1.411331558832833,0.33199756271929337,-4.065797525089053e-17,0.20476338648283166,0.0,-0.8726434850942978,0.20476338648283166,0.0,0.0,-0.9051482536448666,0.0,0.9998780641838809,0.0,0.015615913802756232,0.9998780641838809,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21382034682000786,0.0,-0.8704641708977475,0.21382034682000786,0.5592378250803244,0.0,-0.8290072707759736,0.5592378250803244,0.7413932584733397,0.0,-0.6710708131712211,0.7413932584733397,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13175780751654653,0.43872791887903484,0.009056960337176206,0.12270084717937033,0.42967095854185866,0.0,0.0,0.0,0.0,0.0,-0.06903240712618008,0.10719006396164577,0.002179314196550264,-0.07121172132273035,0.1050107497650955
1.79,1.79,3.2041,0.10370999025211802,0.5960717265514683,0.07433819147748655,0.07433819147748655,0.07433819147748655,0.22576977692786743,0.004642689323631015,0.17852888553999902,0.17697811205499261,0.07091146852691316,0.22112711508514102,0.052767747592724804,0.28657351975769696,0.1206131979124169,0.00870284565146973,0.6796587326194569,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,881.5851855107521,275.1428437036148,3.2041,0.0,0.7165476645868533,1.0547118733938987e-15,0.9051482536448667,0.0,211.32722619448927,-53.9606999428134,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3321444053028316,-0.0,1.4148456870940562,-0.34677781752163156,-0.0,1.411307885831906,0.3321444053028316,-4.067595828088139e-17,0.2048538889510717,0.0,-0.8726223794214173,0.2048538889510717,0.0,0.0,-0.9051482536448666,0.0,0.9998764961294453,0.0,0.01571599465205198,0.9998764961294453,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21388140228481003,0.0,-0.8704493033453891,0.21388140228481003,0.5592378250803246,0.0,-0.8290072707759734,0.5592378250803246,0.7413932584733399,0.0,-0.6710708131712205,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13166730504830648,0.4386374164107948,0.00902751333373833,0.12263979171456815,0.4296099030770565,0.0,0.0,0.0,0.0,0.0,-0.06905351279906058,0.10716895828876527,0.0021730760760282353,-0.07122658887508881,0.10499588221273704
1.8,1.8,3.24,0.10375584915668193,0.5960702362127993,0.07430339748583664,0.07430339748583664,0.07430339748583664,0.22572380223266214,0.004627781622649494,0.17848317021730464,0.1769781120549926,0.07088906174438409,0.22109604664054325,0.05276774759272489,0.2865279313031242,0.12065673864053741,0.008656870966034142,0.6796914990046966,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,891.462813599712,275.1428437036148,3.24,1.3877787807814457e-16,0.7165476645868533,1.4432899320127035e-15,0.9051482536448668,0.0,213.69501977783008,-54.56529690543848,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3322897005517999,-0.0,1.4148122477393315,-0.3468758062616548,-0.0,1.411284469063666,0.3322897005517999,-4.069375181703942e-17,0.20494343809955046,0.0,-0.8726014854975948,0.20494343809955046,0.0,0.0,-0.9051482536448666,0.0,0.9998749443724015,0.0,0.015814411664261396,0.9998749443724015,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21394177391488162,0.0,-0.8704345975119671,0.21394177391488162,0.5592378250803246,0.0,-0.8290072707759736,0.5592378250803246,0.74139325847334,0.0,-0.6710708131712205,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1315777558998278,0.43854786726231604,0.00899833581533116,0.12257942008449663,0.4295495314469849,0.0,0.0,0.0,0.0,0.0,-0.06907440672288312,0.10714806436494273,0.002166887985627697,-0.07124129470851082,0.10498117637931503
1.81,1.81,3.2761,0.10380122847626952,0.5960685414338174,0.07426898243689722,0.07426898243689722,0.07426898243689722,0.22567830802327593,0.004613008724589404,0.17843793339057765,0.1769781120549926,0.0708669123219133,0.22106532393714423,0.05276774759272499,0.286482818817025,0.12069982766825095,0.008611376791083852,0.679723722112503,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,901.3954702574124,275.1428437036148,3.2761,2.7755575615628914e-17,0.7165476645868533,1.5543122344752192e-15,0.905148253644867,0.0,216.0760044117744,-55.173262096267585,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.33243347289161757,-0.0,1.4147791392940967,-0.3469727025801245,-0.0,1.4112613045941238,0.33243347289161757,-4.0711358850615784e-17,0.20503204897135563,0.0,-0.8725808001469577,0.20503204897135563,0.0,0.0,-0.9051482536448666,0.0,0.9998734088204746,0.0,0.015911201517298634,0.9998734088204746,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.21400147262417296,0.0,-0.8704200508998601,0.21400147262417296,0.5592378250803244,0.0,-0.8290072707759737,0.5592378250803244,0.74139325847334,0.0,-0.6710708131712206,0.74139325847334,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1314891450280226,0.43845925639051087,0.008969423652817332,0.12251972137520528,0.42948983273769353,0.0,0.0,0.0,0.0,0.0,-0.06909509207352016,0.10712737901430569,0.0021607492470976375,-0.0712558413206178,0.10496662976720805
1.82,1.82,3.3124000000000002,0.10384613572398634,0.5960666491617863,0.07423494018199324,0.07423494018199324,0.07423494018199324,0.2256332867776462,0.004598368584838239,0.1783931675582043,0.17697811205499261,0.07084501604967683,0.2210349414955688,0.05276774759272476,0.2864381748553624,0.12074247201140814,0.008566355603409844,0.6797554138954408,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,911.3831554838538,275.1428437036148,3.3124000000000002,5.551115123125783e-17,0.7165476645868533,1.27675647831893e-15,0.9051482536448663,0.0,218.47018009632234,-55.78459551530075,-5.54084469260731,-0.0,15.504758578669874,-3.141592653589793,5.54084469260731,-6.785577717374142e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.3325757462327708,-0.0,1.4147463568727585,-0.3470685238239522,-0.0,1.4112383885691133,0.3325757462327708,-4.0728782309800516e-17,0.20511973629257108,0.0,-0.8725603202571162,0.20511973629257108,0.0,0.0,-0.9051482536448666,0.0,0.9998718893752105,0.0,0.016006399884004763,0.9998718893752105,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.3365211939993782,0.0,-0.9416758922204779,0.3365211939993782,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.2140605090960252,0.0,-0.8704056610624582,0.2140605090960252,0.5592378250803247,0.0,-0.8290072707759734,0.5592378250803247,0.7413932584733399,0.0,-0.671070813171221,0.7413932584733399,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.1314014577068071,0.4383715690692954,0.008940772803454122,0.12246068490335299,0.4294307962658413,0.0,0.0,0.0,0.0,0.0,-0.06911557196336171,0.10710689912446414,0.0021546591946579596,-0.07127023115801967,0.10495223992980618
1.83,1.83,3.3489000000000004,0.10389057825577494,0.5960645661154238,0.07420126470500571,0.07420126470500571,0.07420126470500571,0.2255887311309477,0.0045838592011233446,0.1783488653755907,0.1769781120549926,0.0708233688087698,0.22100489395140643,0.052767747592724804,0.2863939921295588,0.12078467854042398,0.00852180003708742,0.6797865859789536,4.440892098500626e-16,45.51495917554019,48.332790735020794,31.79296169782696,28.777343758986216,4.3286545427035605,921.4258692790357,275.1428437036148,3.3489000000000004,0.0,0.7165476645868533,1.3322676295501878e-15,0.9051482536448671,0.0,220.87754683147384,-56.39929716253794,-5.540844692607311,-0.0,15.504758578669874,-3.141592653589793,5.540844692607311,-6.785577717374143e-16,-10.59512876939286,-0.0,12.603243425817631,-3.141592653589793,10.59512876939286,-1.2975290533991e-15,-0.33271654398448164,-0.0,1.4147138956855683,-0.3471632869753726,-0.0,1.4112157172122752,0.33271654398448164,-4.07460250613965e-17,0.2052065144806843,0.0,-0.872540042777573,0.2052065144806843,0.0,0.0,-0.9051482536448666,0.0,0.9998703859325091,0.0,0.01610004146501348,0.9998703859325091,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.33652119399937824,0.0,-0.9416758922204779,0.33652119399937824,0.6434913053618665,0.0,-0.765453421132652,0.6434913053618665,0.2141188937892328,0.0,-0.8703914256028652,0.2141188937892328,0.5592378250803247,0.0,-0.8290072707759735,0.5592378250803247,0.7413932584733403,0.0,-0.6710708131712205,0.7413932584733403,0.0,0.0,-1.0,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13131467951869394,0.4382847908811822,0.00891237930854849,0.12240230021014545,0.4293724115726337,0.0,0.0,0.0,0.0,0.0,-0.06913584944290485,0.107086621644921,0.002148617174707823,-0.07128446661761267,0.10493800447021318
