lambda,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_us,d_weak_tau,d_us_projector_vs_closed,alpha0,delta_x0,delta_z0,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs
0.0,3.5388358909926865e-16,2.8796409701215e-16,3.5388358909926865e-16,0.452574126822433,6.591949208711867e-17,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,0.0,0.0,-0.905148253644866,0.0,0.0,0.0,-0.9051482536448666,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448666,0.0,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
0.2,0.06971264671750461,0.8828614801049286,0.8828614801049279,0.3828614801049287,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,1.2708610951298893e-12,0.0,-0.7657229602098573,1.2708610951298893e-12,0.0,0.0,-0.9051482536448666,0.0,1.0975339529712318e-11,0.0,1.0,1.0975339529712318e-11,1.5836814462340323e-12,0.0,0.9999999999999986,1.5836814462340323e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
0.4,0.19994762799403715,0.7526264988283962,0.7526264988283962,0.25262649882839616,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,3.58837956889915e-12,0.0,-0.5052529976567923,3.58837956889915e-12,0.0,0.0,-0.9051482536448666,0.0,8.640884858565811e-12,0.0,1.0,8.640884858565811e-12,1.4875801994611067e-12,0.0,1.0,1.4875801994611067e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
0.6000000000000001,0.2912320276436159,0.6613420991788175,0.6613420991788175,0.1613420991788174,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,5.1385691921444006e-12,0.0,-0.3226841983576348,5.1385691921444006e-12,0.0,0.0,-0.9051482536448666,0.0,8.31342816678646e-12,0.0,1.0,8.31342816678646e-12,1.4710493686336585e-12,0.0,1.0,1.4710493686336585e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
0.8,0.3394739592922912,0.6131001675301421,0.6131001675301421,0.11310016753014207,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,5.904458470929042e-12,0.0,-0.22620033506028414,5.904458470929042e-12,0.0,0.0,-0.9051482536448666,0.0,8.20460499662116e-12,0.0,1.0,8.20460499662116e-12,1.4653500397727749e-12,0.0,1.0,1.4653500397727749e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
1.0,0.36607365543352144,0.5865004713889118,0.5865004713889118,0.08650047138891181,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,6.296679902291214e-12,0.0,-0.17300094277782363,6.296679902291214e-12,0.0,0.0,-0.9051482536448666,0.0,8.155194126886684e-12,0.0,1.0,8.155194126886684e-12,1.4627269888968312e-12,0.0,1.0,1.4627269888968312e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
1.2000000000000002,0.38269647078304536,0.5698776560393879,0.5698776560393879,0.06987765603938792,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,6.527181203863131e-12,0.0,-0.13975531207877584,6.527181203863131e-12,0.0,0.0,-0.9051482536448666,0.0,8.128602289025859e-12,0.0,1.0,8.128602289025859e-12,1.4613060540178098e-12,0.0,1.0,1.4613060540178098e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
1.4000000000000001,0.3941782448859874,0.5583958819364458,0.5583958819364458,0.058395881936445904,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,6.6787518660499444e-12,0.0,-0.11679176387289181,6.6787518660499444e-12,0.0,0.0,-0.9051482536448666,0.0,8.11265189237277e-12,0.0,1.0,8.11265189237277e-12,1.4604506084708406e-12,0.0,1.0,1.4604506084708406e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
1.6,0.40263345051169874,0.5499406763107345,0.5499406763107345,0.04994067631073451,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,6.786827495471145e-12,0.0,-0.09988135262146902,6.786827495471145e-12,0.0,0.0,-0.9051482536448666,0.0,8.102332927587246e-12,0.0,1.0,8.102332927587246e-12,1.45989592718084e-12,0.0,1.0,1.45989592718084e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
1.8,0.40911918546957127,0.543454941352862,0.543454941352862,0.04345494135286199,0.9525741268224334,1.1102230246251565e-16,475.2053699405173,6.89464209851243e-10,472.8553623367731,6.86540214547649e-12,0.0,-0.08690988270572397,6.86540214547649e-12,0.0,0.0,-0.9051482536448666,0.0,8.095273434208487e-12,0.0,1.0,8.095273434208487e-12,1.459515882908313e-12,0.0,1.0,1.459515882908313e-12,7.34473033708545e-12,0.0,0.0,7.34473033708545e-12
