tag,lambda_min,lambda_max,d_tau_lambda_min,d_us_lambda_min,d_tau_lambda_max,d_us_lambda_max,c_hs_lambda_max,lambda_min_d_us,d_us_min,lambda_cross,d_tau_cross,d_us_cross
$\beta=0.5$,0.0,8.0,1.8041124150158796e-16,0.0786195760805003,0.076617357374847,0.0020033848324329,0.149761634141848,8.0,0.0020033848324329,0.6000000000000001,0.0385320997894584,0.040089477043075
$\beta=1.0$,0.0,8.0,3.538835890992686e-16,0.1123857484634979,0.1103985760652357,0.0019942996206796,0.21789533254691,8.0,0.0019942996206796,0.4,0.0617047817756199,0.050715825576983
$\beta=2.0$,0.0,8.0,2.233456475320139e-16,0.1239961756723326,0.1220193053723555,0.0019911569987722,0.2420698230758711,8.0,0.0019911569987722,0.2,0.0488667095007494,0.0752483016536359
