sx,sz,d_mean,d_max,d_last
0.1875,0.5,0.05085374959420757,0.060289938424535366,0.05206549565809825
0.2,0.525,0.0509310527646913,0.061748873378562434,0.05198028094300676
0.1875,0.525,0.050960154387778595,0.0589871202791172,0.052445865897139905
0.2,0.55,0.05097496737849789,0.06040636949264445,0.052284942362496534
0.175,0.5,0.0509758282056777,0.05737281964025765,0.052654592150885984
0.21250000000000002,0.575,0.0510114898519997,0.061651724693007205,0.052160879932180396
0.21250000000000002,0.55,0.05101863652934926,0.06301610115890006,0.0519195255210364
0.2,0.5,0.05104476101053968,0.06321352332550123,0.05183240539628382
0.22500000000000003,0.6,0.05106340532371828,0.06274413907480952,0.05206549565809825
0.22500000000000003,0.575,0.0511124429595873,0.0641168721683645,0.05187735671622767
0.2375,0.625,0.051126122945941856,0.06370325942565525,0.051992599144359664
0.21250000000000002,0.6,0.05113327976738464,0.060396731163787715,0.05252870673357528
0.22500000000000003,0.625,0.0511341101067739,0.06147324015377256,0.0523717575725392
0.2375,0.65,0.05115391010421507,0.06242717112610119,0.052246136516280225
0.2,0.575,0.05115778656115849,0.059181300527253254,0.05272496093374975
0.21250000000000002,0.525,0.051170485568781274,0.06449387090340251,0.05182280348977755
0.25,0.675,0.05118788997046673,0.06327377191196804,0.052145660859483176
0.25,0.65,0.051196277482910675,0.06454691303938456,0.05193745810647196
0.2375,0.6,0.05120964413212136,0.06507415911457042,0.051849409912706715
0.1875,0.55,0.05121617246580156,0.05781022283570364,0.05297091177849587
0.2625,0.7,0.05123241731934225,0.06402686522770401,0.05206549565809825
0.2625,0.675,0.05127138443278795,0.06529093615914572,0.051896420205986026
0.25,0.7,0.05127340993652983,0.06208627178273898,0.052445865897139905
0.2625,0.725,0.05128158238147721,0.0628427693518173,0.05232134436238015
0.2375,0.675,0.05128180235961949,0.061242827908982785,0.052597198236430685
0.275,0.725,0.05128471765132781,0.06469874626984437,0.052001828661845995
0.22500000000000003,0.55,0.05129459822023131,0.0655948843864884,0.05182283133438871
0.275,0.75,0.051302606947492,0.06352303079479635,0.052218869259868364
0.25,0.625,0.051308260711974835,0.06590836481017365,0.051832405396283934
0.22500000000000003,0.65,0.05131153190548622,0.06030063013080634,0.052781319445501546
0.175,0.525,0.051320012124957994,0.05626774535168568,0.053280238582458075
0.28750000000000003,0.7749999999999999,0.051333576094699636,0.06413660540763008,0.052134616373049704
0.28750000000000003,0.75,0.05134265848622712,0.06530020983696383,0.05195163101494218
0.275,0.7,0.05134959902553231,0.06594919477354161,0.051866641905558515
0.21250000000000002,0.625,0.051368777527216525,0.059246990150924314,0.05300578791226446
0.3,0.8,0.051372199414786886,0.06469190681420911,0.05206549565809825
0.28750000000000003,0.8,0.051395925630225145,0.06304103225290988,0.05238752080816023
0.275,0.7749999999999999,0.0513960385954185,0.06241994132450023,0.05250949106844484
0.3,0.7749999999999999,0.05140459212853305,0.06584064707456776,0.05191247926374913
0.2625,0.65,0.05140690543512876,0.06663731997835541,0.05182385424989219
0.3,0.825,0.051407377475910586,0.063606945194279,0.052284942362496534
0.2625,0.75,0.051410647844058764,0.06173625347173116,0.052654592150886095
0.2375,0.575,0.05141589859134435,0.06654285231140586,0.051829865112454784
0.3125,0.825,0.05141666324900128,0.06519628639950137,0.05200899476399223
0.3125,0.85,0.05142804023410248,0.06412424522151845,0.05219869069396107
0.28750000000000003,0.725,0.051429545755158484,0.0665337078300911,0.05184589165589126
0.25,0.725,0.05144342366005933,0.06098167610131599,0.05282741183167661
0.325,0.875,0.05145601469000205,0.06459869744388189,0.05212623947296816
0.2,0.6,0.051461603728264596,0.05806881147924921,0.05328023858245808
0.325,0.85,0.05146552498666907,0.06565612991560196,0.05196305916697076
0.3125,0.8,0.051469239995810066,0.06632817533072968,0.05188242167282621
0.21250000000000002,0.5,0.051483021605355096,0.06608891558155963,0.05188946781582532
0.1625,0.5,0.05148516271354786,0.054541498016652444,0.05367115324541863
0.3375,0.8999999999999999,0.05148976192903664,0.06503533760538077,0.05206549565809825
0.3125,0.875,0.0514984390530753,0.06311054837089616,0.05244586589713997
0.2375,0.7,0.051498988388236286,0.06014708496953339,0.05303361424947074
0.325,0.8999999999999999,0.05150266271771857,0.0635961378016392,0.05234434753760065
0.3,0.85,0.05150459726422469,0.06258407438306604,0.05256452006543211
0.275,0.675,0.05150460822104822,0.06727643416442883,0.05182185092469
0.3,0.75,0.051510196441781626,0.06705481897133027,0.05183240539628392
0.3375,0.925,0.05151534218341572,0.06404537154118149,0.05225747687377087
0.3375,0.875,0.05151763281455747,0.06607696204147445,0.05192599962719084
0.28750000000000003,0.825,0.05152348852031704,0.06201158808908842,0.05270329302971516
0.35000000000000003,0.925,0.05152803031616833,0.06543854864344745,0.05201471677283069
0.25,0.6,0.05153366170989996,0.06736072579832134,0.05184198344799783
0.35000000000000003,0.95,0.05153489340470315,0.06446223007794935,0.05218316904757077
0.325,0.825,0.051535606723919616,0.06676977926045284,0.051859876899351544
0.275,0.8,0.05155799539333963,0.06138732476859267,0.05286577842118949
0.3625,0.975,0.05156000904193065,0.06485020076406339,0.05211966951708123
0.3625,0.95,0.051569798607067466,0.06581213678974018,0.05197244556957398
0.35000000000000003,0.8999999999999999,0.05157206430776926,0.06646354994016981,0.05189642020598602
0.22500000000000003,0.675,0.05158320084317763,0.05922267147390328,0.053280238582458075
0.35000000000000003,0.975,0.05158913978149188,0.06353348959853397,0.052397756808542036
0.375,1.0,0.05158960677166108,0.0652123331209838,0.052065495658098246
0.3375,0.95,0.051590482575320916,0.06310583597322758,0.052497508723210906
0.3125,0.7749999999999999,0.05159078209488866,0.06752138499284173,0.05182477932969424
0.3625,1.0,0.05159552924110574,0.06393319597086505,0.05231118093820175
0.1875,0.575,0.0516006280303152,0.0567534799742073,0.053617061578159264
0.28750000000000003,0.7,0.051600695462221235,0.06783891923890771,0.051824924956668836
0.325,0.925,0.05160114923551863,0.06264708177950024,0.05261248064703417
0.3375,0.85,0.051602915819152,0.06717145049532018,0.051843556532296026
0.375,1.025,0.05160832131405947,0.06430773767066333,0.052236044492298
0.2625,0.7749999999999999,0.05161166883066983,0.06070486932541369,0.0530563277115598
0.375,0.975,0.05161423133109287,0.06615940357179388,0.05193745810647196
0.3875,1.025,0.05162278814259132,0.06555129150255505,0.05201938975213184
0.3125,0.8999999999999999,0.051623051148904954,0.06215366385632408,0.052745087649263625
0.22500000000000003,0.525,0.05162334187166787,0.06718151456743657,0.051917793156863304
0.3875,1.0499999999999998,0.0516264019661431,0.06465956615917265,0.05217086651902965
0.3625,0.925,0.05162807908583119,0.06682000082505672,0.05187316187981432
0.2625,0.625,0.05164747560886471,0.06806829413137815,0.051857766652870785
0.4,1.075,0.05164883537823629,0.06614569526943898,0.05211437964849039
0.3,0.875,0.05165849192670133,0.06162157404550603,0.052898194966021814
0.4,1.0499999999999998,0.05165880563956105,0.06663056681884605,0.05198028094300676
0.3875,1.0,0.051660643575786626,0.06648321183973288,0.05190872223986859
0.375,1.0499999999999998,0.05166753390658653,0.06344470047939081,0.05244586589713997
0.3875,1.075,0.05166889382775675,0.06417515933305526,0.052360188298779725
0.35000000000000003,0.875,0.051670561049331785,0.06753831892253219,0.05183240539628392
0.325,0.8,0.051670728588220166,0.06794096281449963,0.051821889564882234
0.3625,1.025,0.05167323766709119,0.06306010914711625,0.05254343465856183
0.4,1.1,0.051676194011916164,0.06567212448131374,0.05228494236249653
0.375,0.95,0.05168508205209428,0.06714985103359278,0.05185525807578292
0.35000000000000003,1.0,0.05168733236878277,0.062651204069384,0.0526545921508861
0.25,0.75,0.05168890587448178,0.059957186779363,0.053280238582458075
0.3,0.725,0.051694705778625075,0.06833603869904961,0.05183193363973738
0.21250000000000002,0.65,0.05170353894038806,0.05819826301135092,0.05357609425518027
0.4,1.025,0.051708473022913905,0.06712693242653117,0.05188536425650827
0.28750000000000003,0.85,0.05171025873580695,0.061046333575038386,0.05307521655068513
0.3375,0.975,0.05171139035330711,0.062215482243357254,0.052781319445501546
0.3625,0.8999999999999999,0.051738069434089616,0.06787477215692354,0.051825555195697884
0.4,1.125,0.0517385531564261,0.0652096624957291,0.052489323287842636
0.3875,0.975,0.05174259465708111,0.06745614563836747,0.051841899385798154
0.325,0.95,0.05174727983487155,0.0617501367664238,0.05292593656308271
0.3875,1.1,0.051747722652707384,0.06372818110790479,0.052584477986377894
0.3375,0.825,0.05174960928686739,0.06831998510461293,0.05182283133438867
0.2375,0.55,0.05175632912067739,0.06811223284962777,0.05194750102221983
0.275,0.65,0.051757134790139596,0.06868247066425484,0.05187615780917202
0.375,1.075,0.05176446634064001,0.06262229100597011,0.052691826348432835
0.275,0.825,0.05178173811373351,0.06042298573782355,0.05328023858245809
0.3125,0.75,0.051786330630253355,0.06877735630542997,0.05184198344799784
0.3625,1.0499999999999998,0.05179009130571983,0.06222991165592776,0.05281301257310894
0.2375,0.725,0.05179518192925724,0.059136726364291986,0.05354399761558416
0.3125,0.925,0.051797227755602346,0.06125203329715741,0.05309117043410708
0.175,0.55,0.05179996149399411,0.055290428778225334,0.05403234035507555
0.4,1.0,0.05180023228957556,0.06774150854081393,0.05183240539628382
0.375,0.925,0.051805072855639386,0.06818456193839764,0.051822288259808405
0.35000000000000003,1.025,0.05182613200777648,0.06181423320299308,0.052949940823714195
0.35000000000000003,0.85,0.05182710986237995,0.06866391978304798,0.051826872620906315
0.4,1.15,0.05183363597540745,0.0647581187270472,0.05272496093374976
0.3875,1.125,0.05186041051082926,0.06329227741914065,0.052840958783614445
0.28750000000000003,0.675,0.051862569648201254,0.06921761949148451,0.05189636524379505
0.3,0.8999999999999999,0.05186389796482539,0.0607176940638553,0.053280238582458075
