beta,omega_q,beta_omega_q,theta,theory_model,n_modes,n_cut,omega_min,omega_max,q_strength,tau_c,n_kernel_grid,g_points,g_min,g_max_used,g_max_cap,g_star_factor,has_finite_g_star,g_star,g_range_hit_cap,chi0,sigma_plus0,sigma_minus0,delta_z0,kms_residual_base,trace_distance_at_gmin,trace_distance_max,g_at_trace_distance_max,my_ed_abs_max,my_th_abs_max,phi_peak_abs_xi_ed,g_at_phi_peak_abs_xi_ed,phi_peak_abs_xi_th,g_at_phi_peak_abs_xi_th,halfstep_checked,halfstep_xi_max_abs_diff_ed,halfstep_xi_max_abs_diff_th
0.5,1.0,0.5,0.7853981633974483,compact,2,4,0.5,8.0,10.0,1.0,4001,121,0.0,1.5202769042755073,6.0,2.5,1.0,0.608110761710203,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,1.1102230246251565e-16,0.504251640109274,1.1528766524089265,0.0,0.0,0.9923561936746597,0.3167243550573974,8.114697447248144,0.2787174324505097,0.0,,
2.0,1.0,2.0,0.7853981633974483,compact,2,4,0.5,8.0,10.0,1.0,4001,121,0.0,0.3566708603374847,6.0,2.5,1.0,0.14266834413499388,0.0,49.129773127197325,89.55591488472369,12.120075106438069,36.44599007986,-7.105427357601002e-14,2.7755575615628914e-17,0.4059304635705847,0.2437250878972812,0.0,0.0,3.3536882573450923,0.10700125810124542,14.928387576655922,0.12483480111811965,0.0,,
8.0,1.0,8.0,0.7853981633974483,compact,2,4,0.5,8.0,10.0,1.0,4001,121,0.0,0.02644285463545277,6.0,2.5,1.0,0.010577141854181108,0.0,8938.47319755626,87129.20816308733,29.22859313745426,8794.864349587446,0.0,2.710505431213761e-20,0.181900845217303,0.02313749780602117,0.0,0.0,3.0462813419887413,0.02644285463545277,60.453948047943825,0.016747141269120087,0.0,,
