event_type,event_series,event_target,g,g_over_gstar_ref,beta_cross,chi_cross,Theta_before,Theta_after,m_z_before,m_z_after,m_perp_signed_before,m_perp_signed_after,m_f_before,m_f_after,m_f_perp_before,m_f_perp_after,mhat_f_cross,mhat_f_perp_cross,heff_f_cross,heff_f_perp_cross,heffhat_f_cross,heffhat_f_perp_cross,phi_wrap_before,phi_wrap_after,phi_tan_principal_before,phi_tan_principal_after,phi_cont_cross,alpha_f_wrap_before,alpha_f_wrap_after,alpha_f_cont_cross,alpha_f_axis_cross,alpha_f_axis_reflect_cross,theta_ns_axis_cross,theta_ns_axis_reflect_cross,angle_jump_phi_tan_principal,angle_jump_phi_wrap,angle_jump_phi_cont,angle_jump_alpha_f_wrap,angle_jump_alpha_f_cont
chi1,chi,1.0,0.054816223359613184,0.1,5.302001964510194,0.9975082701185911,-2.7109010560837166,-2.7506426915237903,-0.9912005351455457,-0.9918701387128525,-0.0969052339758924,-0.1007341199140347,-0.7694069679939728,-0.7725878804283723,-0.6323622718403277,-0.6301283218522267,-0.7736787567452617,-0.6335780783463917,-0.7734511842951829,0.6299174663933048,-0.775383229858566,0.6314909713163748,-0.09745580834127236,-0.10121275626037733,-0.09745580834127236,-0.10121275626037733,-0.09911278304647093,-2.4536502985336175,-2.457407246452722,-2.455307273238816,0.6861692629815073,2.455307273238816,0.09922890041594101,3.042363753173852,-0.0037569479191049693,-0.0037569479191050803,-0.0037569479191049693,-0.003756947919104636,-0.003756947919104636
chi1,chi,1.0,0.16444867007883954,0.3,4.055884625153915,0.9986753455659366,-2.2694329584488346,-2.2995426042295315,-0.978854910335351,-0.980078361733292,-0.14826814964690763,-0.15322555387870473,-0.796996358945187,-0.8013668838745097,-0.5873135308465665,-0.5846732274771161,-0.8061408727944014,-0.5917236628784426,-0.8976158198756781,0.4377651033946832,-0.8988064277956221,0.43834576004938547,-0.1503282845432035,-0.15508469821011597,-0.15032828454320352,-0.15508469821011597,-0.15212513204515293,-2.5065227747355485,-2.511279188402461,-2.5083196222374977,0.6331953329926505,2.5083196222374977,0.15220283040479776,2.9893898231849954,-0.004756413666912457,-0.004756413666912707,-0.004756413666912485,-0.0047564136669122625,-0.0047564136669122625
chi1,chi,1.0,0.38371356351729224,0.7,2.9050819664808394,0.9998064500097036,-2.1229460514649054,-2.1500444887377945,-0.9717585993184288,-0.9732285146199859,-0.13048166100516678,-0.13557222277345915,-0.7794015625716398,-0.7840405203955494,-0.5948726279371644,-0.5923124442682568,-0.797546217214493,-0.603257848193335,-0.9921787245014247,-0.12326522675812812,-0.9923707978597205,-0.12328908936017738,-0.13347539805730835,-0.1384108343893666,-0.13347539805730838,-0.13841083438936658,-0.1378166019749525,-2.489669888249653,-2.4946053245817117,-2.4940110921672973,0.6475796683268138,2.4940110921672973,0.13781849507063404,3.003774158519159,-0.004935436332058202,-0.004935436332058174,-0.004935436332058257,-0.004935436332058618,-0.004935436332058618
chi1,chi,1.0,0.49334601023651864,0.9,2.3424471110600757,0.9998492019398328,-2.0624185208168533,-2.0909014439587392,-0.9681821144759452,-0.9699174867424922,-0.08977202568539915,-0.09344552790686629,-0.7480865466924698,-0.7519111985215314,-0.6211297304464725,-0.6197592656125277,-0.7702031629260594,-0.6377986263850793,-0.9037170919804084,-0.42777779779015346,-0.9038533913184953,-0.42784231558140084,-0.09245789011443951,-0.09604734877194993,-0.09245789011443953,-0.09604734877194993,-0.09376832312695203,-2.4486523803067843,-2.452241838964295,-2.449962813319297,0.6916366986334461,2.449962813319297,0.09376146476400216,3.047831188825791,-0.003589458657510397,-0.0035894586575104803,-0.003589458657510411,-0.0035894586575104803,-0.0035894586575104803
chi1,chi,1.0,0.602978456955745,1.1,1.592573289518665,0.9999715687072949,-1.7807461989344922,-1.8012245961124438,-0.9447753532944431,-0.9469326830967562,-0.03602067291502637,-0.037517287891528986,-0.6935275210935348,-0.6961112502247165,-0.6425865969312992,-0.6430537928650603,-0.7338858828258965,-0.6792727809862947,-0.7717878107395111,-0.6358354452347252,-0.7718097542885478,-0.6358535233723657,-0.03810772022579653,-0.039599093337699696,-0.03810772022579653,-0.0395990933376997,-0.03863081319217075,-2.3943022104181417,-2.3957935835300446,-2.3948253033845157,0.7467712639987787,2.3948253033845157,0.03862689939866959,3.1029657541911235,-0.0014913731119031715,-0.0014913731119032825,-0.0014913731119031645,-0.0014913731119028384,-0.0014913731119028384
